Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Jordan Crawford,20131203,BOS,1,BOS,108,MIL,100,38.8,8,14,0.5710000000000001,4,7,0.5710000000000001,5,7,0.7140000000000001,1,1,2,5,1,0,2,3,25,0,.732,.714,.500,.500,3.4,3.3,3.4,22.0,1.4,0.0,10.5,23.4,144,118
Jared Sullinger,20131203,BOS,1,BOS,108,MIL,100,34.77,5,15,0.33299999999999996,0,1,0.0,2,2,1.0,5,3,8,2,2,1,3,3,12,7,.378,.333,.067,.133,19.2,11.2,15.1,8.9,3.1,2.3,15.9,25.8,90,110
Brandon Bass,20131203,BOS,1,BOS,108,MIL,100,34.37,4,9,0.444,0,0,,8,9,0.889,1,8,9,0,0,1,1,4,16,-1,.617,.444,.000,1.000,3.9,30.2,17.2,0.0,0.0,2.3,7.2,19.3,129,113
Jeff Green,20131203,BOS,1,BOS,108,MIL,100,32.35,6,9,0.667,3,5,0.6,3,5,0.6,1,4,5,3,0,0,3,3,18,2,.804,.833,.556,.556,4.1,16.0,10.2,15.3,0.0,0.0,21.1,20.9,130,118
Avery Bradley,20131203,BOS,1,BOS,108,MIL,100,30.4,6,12,0.5,3,6,0.5,0,0,,1,3,4,0,0,0,0,3,15,8,.625,.625,.500,.000,4.4,12.8,8.7,0.0,0.0,0.0,0.0,18.8,134,119
Gerald Wallace,20131203,BOS,1,BOS,108,MIL,100,21.58,2,3,0.667,0,1,0.0,2,2,1.0,1,3,4,4,2,0,1,2,6,2,.773,.667,.333,.667,6.2,18.0,12.2,26.5,5.1,0.0,20.5,10.8,152,107
Kris Humphries,20131203,BOS,1,BOS,108,MIL,100,20.12,2,5,0.4,0,0,,1,2,0.5,1,7,8,3,1,1,0,2,5,12,.425,.400,.000,.400,6.6,45.1,26.1,21.5,2.7,4.0,0.0,13.9,123,103
Courtney Lee,20131203,BOS,1,BOS,108,MIL,100,15.65,5,7,0.7140000000000001,1,2,0.5,0,0,,0,0,0,1,0,0,1,1,11,6,.786,.786,.286,.000,0.0,0.0,0.0,13.5,0.0,0.0,12.5,24.3,134,122
Vitor Faverani,20131203,BOS,1,BOS,108,MIL,100,6.75,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,1,0,1,0,-2,.000,.000,.500,.000,0.0,0.0,0.0,18.7,0.0,11.9,0.0,14.1,38,111
Phil Pressey,20131203,BOS,1,BOS,108,MIL,100,5.22,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,1,1,0,6,.000,.000,1.000,.000,0.0,0.0,0.0,24.2,10.5,0.0,50.0,18.2,31,99
MarShon Brooks,20131203,BOS,1,BOS,108,MIL,100,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly Olynyk,20131203,BOS,1,BOS,108,MIL,100,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Bogans,20131203,BOS,1,BOS,108,MIL,100,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
