Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Jameer Nelson,20140102,ORL,0,CLE,87,ORL,81,43.07,5,9,0.556,4,8,0.5,0,0,,0,6,6,9,0,0,2,3,14,-8,.778,.778,.889,.000,0.0,12.7,6.8,42.9,0.0,0.0,18.2,12.8,133,95
Jason Maxiell,20140102,ORL,0,CLE,87,ORL,81,42.77,1,6,0.16699999999999998,0,0,,4,6,0.667,1,5,6,2,2,3,3,3,6,-2,.347,.167,.000,1.000,2.5,10.7,6.9,8.1,2.6,4.8,25.8,13.6,64,88
Glen Davis,20140102,ORL,0,CLE,87,ORL,81,42.5,6,19,0.316,0,0,,4,8,0.5,2,11,13,1,1,2,2,6,16,-11,.355,.316,.000,.421,5.0,23.7,15.0,5.1,1.3,3.2,8.2,28.9,71,84
Arron Afflalo,20140102,ORL,0,CLE,87,ORL,81,39.27,5,15,0.33299999999999996,2,5,0.4,0,0,,0,6,6,5,0,0,2,1,12,-12,.400,.400,.333,.000,0.0,14.0,7.5,26.7,0.0,0.0,11.8,21.7,79,94
Tobias Harris,20140102,ORL,0,CLE,87,ORL,81,28.12,5,11,0.455,0,3,0.0,0,0,,0,5,5,1,1,2,1,1,10,2,.455,.455,.273,.000,0.0,16.3,8.7,8.4,1.9,4.9,8.3,21.4,82,86
Victor Oladipo,20140102,ORL,0,CLE,87,ORL,81,25.73,3,9,0.33299999999999996,0,4,0.0,0,0,,1,3,4,1,0,2,3,2,6,-8,.333,.333,.444,.000,4.1,10.7,7.6,8.0,0.0,5.3,25.0,23.3,55,93
Andrew Nicholson,20140102,ORL,0,CLE,87,ORL,81,20.03,5,11,0.455,0,3,0.0,2,2,1.0,3,3,6,0,0,1,1,2,12,7,.505,.455,.273,.182,15.9,13.7,14.7,0.0,0.0,3.4,7.8,32.2,98,92
E'Twaun Moore,20140102,ORL,0,CLE,87,ORL,81,13.58,1,2,0.5,1,2,0.5,0,2,0.0,0,1,1,2,0,0,0,1,3,0,.521,.750,1.000,1.000,0.0,6.7,3.6,27.8,0.0,0.0,0.0,10.6,113,98
Maurice Harkless,20140102,ORL,0,CLE,87,ORL,81,9.93,1,2,0.5,0,0,,0,0,,1,1,2,0,1,2,0,1,2,2,.500,.500,.000,.000,10.7,9.2,9.9,0.0,5.5,13.9,0.0,10.1,113,77
Kyle O'Quinn,20140102,ORL,0,CLE,87,ORL,81,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronnie Price,20140102,ORL,0,CLE,87,ORL,81,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Jones,20140102,ORL,0,CLE,87,ORL,81,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doron Lamb,20140102,ORL,0,CLE,87,ORL,81,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
