Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
C.J. Miles,20140117,CLE,0,CLE,117,DEN,109,38.0,6,12,0.5,3,7,0.429,4,4,1.0,1,3,4,2,0,1,0,4,19,15,.690,.625,.583,.333,2.9,8.2,5.6,7.3,0.0,2.3,0.0,15.2,159,120
Tristan Thompson,20140117,CLE,0,CLE,117,DEN,109,37.27,8,9,0.889,0,0,,4,6,0.667,3,7,10,0,1,2,3,1,20,8,.859,.889,.000,.667,8.8,19.6,14.3,0.0,1.3,4.7,20.5,16.5,135,111
Kyrie Irving,20140117,CLE,0,CLE,117,DEN,109,33.2,9,16,0.563,1,3,0.33299999999999996,4,5,0.8,1,3,4,6,0,1,1,4,23,9,.632,.594,.188,.313,3.3,9.4,6.4,29.9,0.0,2.6,5.2,24.3,140,119
Anderson Varejao,20140117,CLE,0,CLE,117,DEN,109,30.8,2,5,0.4,0,0,,3,4,0.75,3,13,16,7,3,1,2,2,7,14,.518,.400,.000,.800,10.6,44.0,27.7,28.1,4.9,2.8,22.8,11.9,121,95
Luol Deng,20140117,CLE,0,CLE,117,DEN,109,30.13,6,17,0.353,0,1,0.0,6,7,0.857,3,0,3,2,1,1,0,2,18,-7,.448,.353,.059,.412,10.9,0.0,5.3,9.8,1.7,2.9,0.0,28.0,117,119
Dion Waiters,20140117,CLE,0,CLE,117,DEN,109,28.02,3,14,0.214,1,3,0.33299999999999996,2,2,1.0,0,0,0,2,2,0,1,2,9,7,.302,.250,.214,.143,0.0,0.0,0.0,9.3,3.6,0.0,6.3,23.8,77,116
Tyler Zeller,20140117,CLE,0,CLE,117,DEN,109,16.95,1,4,0.25,0,0,,2,4,0.5,5,2,7,1,0,0,2,1,4,-5,.347,.250,.000,1.000,32.2,12.3,22.0,7.2,0.0,0.0,25.8,19.2,92,120
Jarrett Jack,20140117,CLE,0,CLE,117,DEN,109,14.8,5,7,0.7140000000000001,0,1,0.0,3,3,1.0,0,4,4,1,1,0,1,2,13,-1,.781,.714,.143,.429,0.0,28.2,14.4,12.6,3.4,0.0,10.7,26.4,145,106
Earl Clark,20140117,CLE,0,CLE,117,DEN,109,10.83,2,4,0.5,0,1,0.0,0,0,,0,1,1,0,0,0,1,1,4,0,.500,.500,.250,.000,0.0,9.6,4.9,0.0,0.0,0.0,20.0,19.4,82,121
Alonzo Gee,20140117,CLE,0,CLE,117,DEN,109,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Dellavedova,20140117,CLE,0,CLE,117,DEN,109,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Sims,20140117,CLE,0,CLE,117,DEN,109,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Bennett,20140117,CLE,0,CLE,117,DEN,109,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
