Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Nene Hilario,20140117,WAS,1,WAS,96,CHI,93,34.62,3,15,0.2,0,0,,4,6,0.667,1,6,7,4,1,2,4,3,10,-10,.283,.200,.000,.400,4.0,23.8,13.9,15.5,1.5,5.3,18.5,29.8,63,102
Marcin Gortat,20140117,WAS,1,WAS,96,CHI,93,34.6,6,12,0.5,0,0,,1,1,1.0,1,5,6,1,0,3,2,3,13,4,.523,.500,.000,.083,4.0,19.8,11.9,4.4,0.0,8.0,13.9,19.9,94,104
John Wall,20140117,WAS,1,WAS,96,CHI,93,33.78,9,15,0.6,0,1,0.0,5,6,0.833,2,2,4,11,1,0,4,3,23,7,.652,.600,.067,.400,8.1,8.1,8.1,57.4,1.6,0.0,18.5,30.5,125,109
Trevor Ariza,20140117,WAS,1,WAS,96,CHI,93,32.6,2,5,0.4,0,2,0.0,0,0,,0,8,8,3,2,1,2,0,4,6,.400,.400,.400,.000,0.0,33.7,16.8,11.9,3.3,2.8,28.6,10.2,74,98
Bradley Beal,20140117,WAS,1,WAS,96,CHI,93,22.6,6,10,0.6,2,2,1.0,0,0,,0,2,2,0,2,0,1,4,14,1,.700,.700,.200,.000,0.0,12.1,6.1,0.0,4.7,0.0,9.1,23.2,115,101
Martell Webster,20140117,WAS,1,WAS,96,CHI,93,36.0,5,8,0.625,4,5,0.8,0,0,,0,1,1,3,2,0,1,0,14,0,.875,.875,.625,.000,0.0,3.8,1.9,12.0,3.0,0.0,11.1,11.9,147,107
Trevor Booker,20140117,WAS,1,WAS,96,CHI,93,26.13,6,9,0.667,0,0,,0,0,,3,4,7,0,1,0,1,1,12,10,.667,.667,.000,.000,15.7,21.0,18.4,0.0,2.0,0.0,10.0,18.2,123,106
Garrett Temple,20140117,WAS,1,WAS,96,CHI,93,14.38,3,5,0.6,0,1,0.0,0,0,,1,0,1,5,0,1,0,3,6,-4,.600,.600,.200,.000,9.5,0.0,4.8,55.6,0.0,6.4,0.0,16.6,150,109
Otto Porter,20140117,WAS,1,WAS,96,CHI,93,4.8,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.9,0,115
Kevin Seraphin,20140117,WAS,1,WAS,96,CHI,93,0.48,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,2,,,,,0.0,0.0,0.0,0.0,0.0,100.0,,0.0,0,-39
Jan Vesely,20140117,WAS,1,WAS,96,CHI,93,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Singleton,20140117,WAS,1,WAS,96,CHI,93,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Maynor,20140117,WAS,1,WAS,96,CHI,93,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
