Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Jimmy Butler,20140129,CHI,0,CHI,96,SAS,86,41.88,7,11,0.636,1,2,0.5,4,5,0.8,3,1,4,1,3,2,0,2,19,11,.720,.682,.182,.455,8.8,3.7,6.5,4.0,4.0,4.0,0.0,15.1,160,98
Joakim Noah,20140129,CHI,0,CHI,96,SAS,86,39.57,5,12,0.41700000000000004,0,0,,0,0,,4,6,10,8,0,4,2,2,10,21,.417,.417,.000,.000,12.4,23.5,17.3,31.4,0.0,8.4,14.3,17.0,108,99
D.J. Augustin,20140129,CHI,0,CHI,96,SAS,86,37.97,6,17,0.353,2,5,0.4,1,2,0.5,0,0,0,5,1,0,1,2,15,22,.419,.412,.294,.118,0.0,0.0,0.0,21.5,1.5,0.0,5.3,23.8,101,107
Mike Dunleavy,20140129,CHI,0,CHI,96,SAS,86,36.0,3,11,0.273,0,4,0.0,4,6,0.667,2,4,6,3,1,1,0,2,10,18,.367,.273,.364,.545,6.8,17.2,11.4,12.1,1.6,2.3,0.0,18.2,104,102
Carlos Boozer,20140129,CHI,0,CHI,96,SAS,86,25.67,6,12,0.5,0,0,,4,4,1.0,3,9,12,1,2,0,2,1,16,13,.581,.500,.000,.333,14.4,54.3,32.1,7.3,4.4,0.0,12.7,29.4,117,92
Taj Gibson,20140129,CHI,0,CHI,96,SAS,86,26.62,6,10,0.6,0,0,,3,4,0.75,0,2,2,1,1,1,1,3,15,-5,.638,.600,.000,.400,0.0,11.6,5.2,6.9,2.1,3.1,7.8,23.0,125,101
Kirk Hinrich,20140129,CHI,0,CHI,96,SAS,86,21.65,4,8,0.5,1,1,1.0,2,2,1.0,1,1,2,2,1,0,1,4,11,-14,.619,.563,.125,.250,5.7,7.2,6.3,15.8,2.6,0.0,10.1,21.9,128,104
Tony Snell,20140129,CHI,0,CHI,96,SAS,86,6.5,0,2,0.0,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-7,.000,.000,.000,.000,0.0,47.6,21.1,0.0,0.0,0.0,0.0,14.8,0,103
Nazr Mohammed,20140129,CHI,0,CHI,96,SAS,86,4.15,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-9,,,,,29.7,0.0,16.5,0.0,0.0,0.0,,0.0,210,110
Cartier Martin,20140129,CHI,0,CHI,96,SAS,86,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tornike Shengelia,20140129,CHI,0,CHI,96,SAS,86,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike James,20140129,CHI,0,CHI,96,SAS,86,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Murphy,20140129,CHI,0,CHI,96,SAS,86,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
