Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Brandon Knight,20140308,MIL,1,WAS,114,MIL,107,33.92,9,20,0.45,2,5,0.4,5,5,1.0,0,2,2,2,3,0,2,4,25,7,.563,.500,.250,.250,0.0,7.9,3.7,10.8,4.6,0.0,8.3,30.2,124,120
Khris Middleton,20140308,MIL,1,WAS,114,MIL,107,32.88,7,12,0.583,1,2,0.5,0,0,,3,2,5,2,1,0,2,5,15,-6,.625,.625,.167,.000,10.7,8.1,9.5,10.1,1.6,0.0,14.3,18.0,126,126
Zaza Pachulia,20140308,MIL,1,WAS,114,MIL,107,29.42,2,7,0.28600000000000003,0,0,,2,2,1.0,2,2,4,3,2,0,1,1,6,-1,.381,.286,.000,.286,8.0,9.1,8.5,13.7,3.5,0.0,11.3,12.8,105,123
Nate Wolters,20140308,MIL,1,WAS,114,MIL,107,29.0,4,10,0.4,1,2,0.5,1,2,0.5,2,3,5,4,0,0,0,1,10,6,.460,.450,.200,.200,8.1,13.8,10.7,20.4,0.0,0.0,0.0,15.9,130,129
Ersan Ilyasova,20140308,MIL,1,WAS,114,MIL,107,27.53,4,10,0.4,0,2,0.0,5,6,0.833,1,7,8,0,1,1,1,4,13,2,.514,.400,.200,.600,4.3,33.9,18.1,0.0,1.9,3.4,7.3,21.0,117,117
Jeff Adrien,20140308,MIL,1,WAS,114,MIL,107,22.42,2,4,0.5,0,0,,4,5,0.8,5,3,8,0,0,1,1,1,8,-7,.645,.500,.000,1.250,26.1,17.8,22.2,0.0,0.0,4.1,13.9,13.6,140,126
Giannis Antetokounmpo,20140308,MIL,1,WAS,114,MIL,107,21.85,1,4,0.25,0,1,0.0,2,2,1.0,1,1,2,1,0,0,2,1,4,-10,.410,.250,.250,.500,5.4,6.1,5.7,6.0,0.0,0.0,29.1,13.3,80,131
Ramon Sessions,20140308,MIL,1,WAS,114,MIL,107,21.83,4,11,0.364,0,3,0.0,6,6,1.0,0,2,2,1,1,0,1,0,14,-8,.513,.364,.273,.545,0.0,12.2,5.7,7.3,2.4,0.0,6.8,28.4,119,125
John Henson,20140308,MIL,1,WAS,114,MIL,107,16.63,6,8,0.75,0,0,,0,0,,3,3,6,0,0,2,4,3,12,-8,.750,.750,.000,.000,21.1,24.0,22.5,0.0,0.0,11.1,33.3,30.6,100,119
Tony Mitchell,20140308,MIL,1,WAS,114,MIL,107,4.52,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,0,-10,.000,.000,1.000,.000,0.0,0.0,0.0,27.2,11.6,0.0,0.0,9.4,59,107
Miroslav Raduljica,20140308,MIL,1,WAS,114,MIL,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O.J. Mayo,20140308,MIL,1,WAS,114,MIL,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekpe Udoh,20140308,MIL,1,WAS,114,MIL,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
