Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Kevin Love,20140314,MIN,0,CHA,105,MIN,93,36.02,7,17,0.41200000000000003,2,4,0.5,2,4,0.5,0,6,6,5,0,0,0,1,18,-2,.480,.471,.235,.235,0.0,18.2,9.0,26.0,0.0,0.0,0.0,24.7,101,113
Kevin Martin,20140314,MIN,0,CHA,105,MIN,93,33.07,6,13,0.462,3,5,0.6,4,4,1.0,1,4,5,1,1,0,0,1,19,-1,.644,.577,.385,.308,3.2,13.2,8.2,5.5,1.5,0.0,0.0,21.2,128,112
Ricky Rubio,20140314,MIN,0,CHA,105,MIN,93,32.17,1,6,0.16699999999999998,0,1,0.0,4,4,1.0,0,3,3,9,2,0,3,0,6,3,.387,.167,.167,.667,0.0,10.2,5.0,40.1,3.1,0.0,27.9,15.9,86,110
Corey Brewer,20140314,MIN,0,CHA,105,MIN,93,30.58,3,6,0.5,0,1,0.0,4,6,0.667,0,2,2,1,3,1,0,2,10,2,.579,.500,.167,1.000,0.0,7.1,3.5,5.2,4.9,2.2,0.0,13.4,120,105
Nikola Pekovic,20140314,MIN,0,CHA,105,MIN,93,16.87,4,11,0.364,0,0,,0,0,,0,4,4,0,1,0,1,1,8,1,.364,.364,.000,.000,0.0,25.9,12.8,0.0,3.0,0.0,8.3,33.7,62,104
Dante Cunningham,20140314,MIN,0,CHA,105,MIN,93,21.47,5,8,0.625,0,0,,0,0,,1,3,4,2,1,1,2,2,10,-14,.625,.625,.000,.000,5.0,15.2,10.0,18.8,2.3,3.1,20.0,22.1,100,107
J.J. Barea,20140314,MIN,0,CHA,105,MIN,93,20.58,4,9,0.444,0,1,0.0,1,1,1.0,1,3,4,4,0,0,1,4,9,-12,.477,.444,.111,.111,5.2,15.9,10.5,36.3,0.0,0.0,9.6,24.0,100,113
Chase Budinger,20140314,MIN,0,CHA,105,MIN,93,15.95,2,4,0.5,1,2,0.5,0,0,,0,1,1,0,1,0,1,2,5,-9,.625,.625,.500,.000,0.0,6.8,3.4,0.0,3.2,0.0,20.0,14.9,86,110
Gorgui Dieng,20140314,MIN,0,CHA,105,MIN,93,11.8,1,3,0.33299999999999996,0,0,,0,0,,1,1,2,0,0,0,0,1,2,-1,.333,.333,.000,.000,9.0,9.2,9.1,0.0,0.0,0.0,0.0,12.1,83,116
Shabazz Muhammad,20140314,MIN,0,CHA,105,MIN,93,9.6,2,3,0.667,0,0,,0,0,,0,1,1,1,0,0,0,1,4,-18,.667,.667,.000,.000,0.0,11.4,5.6,20.0,0.0,0.0,0.0,14.8,133,115
Luc Mbah a Moute,20140314,MIN,0,CHA,105,MIN,93,7.8,0,1,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,1,0,2,-7,.532,.000,.000,2.000,13.7,0.0,6.9,0.0,0.0,0.0,34.7,17.5,90,120
Alexey Shved,20140314,MIN,0,CHA,105,MIN,93,2.05,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,0,-1,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,46.3,0,120
Robbie Hummel,20140314,MIN,0,CHA,105,MIN,93,2.05,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-1,,,,,0.0,100.0,52.6,0.0,0.0,0.0,,0.0,0,85
