Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Greg Monroe,20140331,DET,1,DET,116,MIL,111,39.5,12,21,0.5710000000000001,0,0,,4,6,0.667,4,10,14,1,0,2,1,1,28,19,.592,.571,.000,.286,9.5,24.8,17.0,3.9,0.0,3.4,4.1,25.5,128,111
Brandon Jennings,20140331,DET,1,DET,116,MIL,111,38.43,7,17,0.41200000000000003,5,9,0.556,1,3,0.33299999999999996,1,2,3,13,1,0,1,5,20,6,.546,.559,.529,.176,2.4,5.1,3.7,43.6,1.3,0.0,5.2,20.6,136,119
Josh Smith,20140331,DET,1,DET,116,MIL,111,29.58,11,19,0.579,2,4,0.5,2,3,0.667,0,1,1,3,1,1,3,4,26,-1,.640,.632,.211,.158,0.0,3.3,1.6,17.3,1.7,2.3,12.9,32.3,117,118
Kyle Singler,20140331,DET,1,DET,116,MIL,111,28.42,5,10,0.5,2,5,0.4,2,2,1.0,3,2,5,2,0,1,2,3,14,2,.643,.600,.500,.200,9.9,6.9,8.4,9.0,0.0,2.4,15.5,18.6,125,120
Andre Drummond,20140331,DET,1,DET,116,MIL,111,28.22,5,9,0.556,0,0,,0,0,,8,8,16,0,2,0,2,4,10,23,.556,.556,.000,.000,26.7,27.8,27.2,0.0,3.5,0.0,18.2,16.0,117,104
Will Bynum,20140331,DET,1,DET,116,MIL,111,23.28,3,6,0.5,0,1,0.0,6,6,1.0,0,2,2,8,1,0,0,3,12,-1,.694,.500,.167,1.000,0.0,8.4,4.1,41.4,2.1,0.0,0.0,15.2,174,116
Rodney Stuckey,20140331,DET,1,DET,116,MIL,111,20.25,2,5,0.4,0,0,,0,1,0.0,0,0,0,0,0,0,2,1,4,3,.368,.400,.000,.200,0.0,0.0,0.0,0.0,0.0,0.0,26.9,15.0,54,124
Kentavious Caldwell-Pope,20140331,DET,1,DET,116,MIL,111,13.45,1,4,0.25,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,2,-12,.250,.250,.250,.000,0.0,7.3,3.6,0.0,0.0,0.0,0.0,12.2,63,121
Jonas Jerebko,20140331,DET,1,DET,116,MIL,111,11.35,0,4,0.0,0,1,0.0,0,0,,3,4,7,1,0,0,0,3,0,-3,.000,.000,.250,.000,24.9,34.5,29.6,9.2,0.0,0.0,0.0,14.4,66,108
Charlie Villanueva,20140331,DET,1,DET,116,MIL,111,7.52,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,1,0,1,0,-11,.000,.000,1.000,.000,0.0,13.0,6.4,0.0,0.0,9.0,0.0,10.9,0,113
Peyton Siva,20140331,DET,1,DET,116,MIL,111,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Mitchell,20140331,DET,1,DET,116,MIL,111,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luigi Datome,20140331,DET,1,DET,116,MIL,111,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
