Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Klay Thompson,20140406,GSW,1,GSW,130,UTA,102,30.6,11,20,0.55,7,10,0.7,4,4,1.0,0,3,3,1,1,0,0,1,33,28,.758,.725,.500,.200,0.0,10.0,5.7,4.5,1.5,0.0,0.0,31.0,145,103
Stephen Curry,20140406,GSW,1,GSW,130,UTA,102,29.47,12,18,0.667,5,10,0.5,2,2,1.0,0,1,1,16,3,0,5,2,31,31,.821,.806,.556,.111,0.0,3.5,2.0,80.3,4.8,0.0,20.9,35.4,146,97
Draymond Green,20140406,GSW,1,GSW,130,UTA,102,26.65,5,6,0.833,1,1,1.0,0,0,,0,4,4,1,1,1,2,2,11,26,.917,.917,.167,.000,0.0,15.3,8.8,4.2,1.8,2.5,25.0,13.1,122,99
Andrew Bogut,20140406,GSW,1,GSW,130,UTA,102,22.53,3,4,0.75,0,0,,0,0,,1,10,11,2,1,0,1,4,6,16,.750,.750,.000,.000,6.1,45.3,28.6,9.3,2.1,0.0,20.0,9.7,135,95
Andre Iguodala,20140406,GSW,1,GSW,130,UTA,102,21.58,4,6,0.667,1,3,0.33299999999999996,2,2,1.0,0,1,1,1,1,0,2,0,11,15,.799,.750,.500,.333,0.0,4.7,2.7,5.2,2.2,0.0,22.5,18.0,119,103
Harrison Barnes,20140406,GSW,1,GSW,130,UTA,102,27.53,5,8,0.625,0,2,0.0,0,0,,0,5,5,1,2,0,0,4,10,11,.625,.625,.250,.000,0.0,18.5,10.6,4.0,3.4,0.0,0.0,12.7,126,97
Steve Blake,20140406,GSW,1,GSW,130,UTA,102,24.15,1,3,0.33299999999999996,1,2,0.5,0,0,,0,0,0,5,0,0,2,1,3,1,.500,.500,.667,.000,0.0,0.0,0.0,19.9,0.0,0.0,40.0,9.0,102,108
Jordan Crawford,20140406,GSW,1,GSW,130,UTA,102,18.9,4,8,0.5,2,4,0.5,0,0,,0,2,2,4,0,0,1,0,10,-5,.625,.625,.500,.000,0.0,10.8,6.2,24.3,0.0,0.0,11.1,20.8,124,106
Jermaine O'Neal,20140406,GSW,1,GSW,130,UTA,102,17.53,3,7,0.429,0,0,,1,1,1.0,3,7,10,2,0,1,0,4,7,13,.470,.429,.000,.143,23.5,40.8,33.4,12.5,0.0,3.8,0.0,18.5,129,96
Marreese Speights,20140406,GSW,1,GSW,130,UTA,102,16.45,4,9,0.444,0,1,0.0,0,0,,1,5,6,0,0,0,3,5,8,2,.444,.444,.111,.000,8.3,31.0,21.4,0.0,0.0,0.0,25.0,31.8,68,101
Hilton Armstrong,20140406,GSW,1,GSW,130,UTA,102,4.6,0,1,0.0,0,0,,0,0,,1,1,2,1,0,0,0,0,0,2,.000,.000,.000,.000,29.8,22.2,25.5,20.1,0.0,0.0,0.0,9.5,111,104
David Lee,20140406,GSW,1,GSW,130,UTA,102,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
