Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Derrick Williams,20140413,SAC,1,SAC,106,MIN,103,39.73,4,9,0.444,1,2,0.5,4,7,0.5710000000000001,1,3,4,1,1,0,2,1,13,16,.538,.500,.222,.778,3.1,7.4,5.5,3.3,1.2,0.0,14.2,15.6,98,109
Ben McLemore,20140413,SAC,1,SAC,106,MIN,103,38.85,6,11,0.545,3,6,0.5,4,5,0.8,1,2,3,2,0,2,1,4,19,-3,.720,.682,.545,.455,3.2,5.0,4.2,7.4,0.0,3.7,7.0,16.1,137,109
DeMarcus Cousins,20140413,SAC,1,SAC,106,MIN,103,37.47,13,21,0.619,0,0,,9,13,0.6920000000000001,1,14,15,6,1,3,6,2,35,13,.655,.619,.000,.619,3.3,36.6,21.8,31.6,1.3,5.8,18.3,38.5,112,95
Isaiah Thomas,20140413,SAC,1,SAC,106,MIN,103,30.35,6,13,0.462,1,5,0.2,1,2,0.5,2,1,3,4,0,0,2,3,14,0,.504,.500,.385,.154,8.1,3.2,5.4,20.1,0.0,0.0,12.6,23.1,102,113
Jason Thompson,20140413,SAC,1,SAC,106,MIN,103,26.88,3,8,0.375,0,0,,0,0,,2,9,11,1,2,0,2,6,6,11,.375,.375,.000,.000,9.2,32.8,22.3,5.0,3.6,0.0,20.0,16.4,75,96
Ray McCallum,20140413,SAC,1,SAC,106,MIN,103,28.37,5,9,0.556,1,2,0.5,0,0,,0,3,3,6,0,1,1,1,11,3,.611,.611,.222,.000,0.0,10.4,5.8,31.2,0.0,2.6,10.0,15.5,125,109
Travis Outlaw,20140413,SAC,1,SAC,106,MIN,103,17.8,1,7,0.14300000000000002,0,2,0.0,0,0,,0,4,4,4,2,0,1,2,2,-2,.143,.143,.286,.000,0.0,22.0,12.3,28.2,5.5,0.0,12.5,19.8,54,95
Quincy Acy,20140413,SAC,1,SAC,106,MIN,103,12.73,2,2,1.0,0,0,,0,0,,1,1,2,0,0,0,0,4,4,-6,1.000,1.000,.000,.000,9.7,7.7,8.6,0.0,0.0,0.0,0.0,6.9,202,111
Aaron Gray,20140413,SAC,1,SAC,106,MIN,103,7.82,1,2,0.5,0,0,,0,0,,0,2,2,1,0,0,0,0,2,-17,.500,.500,.000,.000,0.0,25.1,14.0,17.6,0.0,0.0,0.0,11.3,117,106
Jared Cunningham,20140413,SAC,1,SAC,106,MIN,103,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudy Gay,20140413,SAC,1,SAC,106,MIN,103,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Evans,20140413,SAC,1,SAC,106,MIN,103,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
