Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Michael Carter-Williams,20141227,PHI,0,UTA,88,PHI,71,36.5,2,20,0.1,1,7,0.14300000000000002,3,4,0.75,1,3,4,6,0,0,6,3,8,-14,.184,.125,.350,.200,2.6,8.2,5.3,36.9,0.0,0.0,21.6,35.7,42,106
Robert Covington,20141227,PHI,0,UTA,88,PHI,71,36.02,5,10,0.5,2,6,0.33299999999999996,5,8,0.625,2,7,9,0,1,2,1,3,17,-25,.629,.600,.600,.800,5.2,19.4,12.1,0.0,1.5,4.4,6.9,18.9,122,94
Henry Sims,20141227,PHI,0,UTA,88,PHI,71,31.7,4,9,0.444,0,2,0.0,2,2,1.0,1,7,8,0,1,2,1,3,10,-8,.506,.444,.222,.222,3.0,22.1,12.2,0.0,1.7,5.0,9.2,16.1,97,92
Nerlens Noel,20141227,PHI,0,UTA,88,PHI,71,31.58,2,5,0.4,0,0,,1,1,1.0,1,9,10,2,1,0,1,1,5,-14,.460,.400,.000,.200,3.0,28.5,15.4,14.5,1.7,0.0,15.5,9.6,93,92
JaKarr Sampson,20141227,PHI,0,UTA,88,PHI,71,20.58,1,3,0.33299999999999996,0,2,0.0,0,2,0.0,0,2,2,1,0,0,1,2,2,-17,.258,.333,.667,.667,0.0,9.7,4.7,10.8,0.0,0.0,20.5,11.1,48,105
Tony Wroten,20141227,PHI,0,UTA,88,PHI,71,31.78,8,17,0.47100000000000003,1,6,0.16699999999999998,3,5,0.6,2,4,6,0,2,0,3,2,20,2,.521,.500,.353,.294,5.9,12.6,9.2,0.0,3.3,0.0,13.5,32.8,91,96
K.J. McDaniels,20141227,PHI,0,UTA,88,PHI,71,26.03,2,8,0.25,1,3,0.33299999999999996,0,0,,0,1,1,1,1,1,3,3,5,-8,.313,.313,.375,.000,0.0,3.8,1.9,9.1,2.0,3.0,27.3,19.8,49,101
Jerami Grant,20141227,PHI,0,UTA,88,PHI,71,19.75,0,1,0.0,0,0,,4,6,0.667,2,1,3,1,2,0,0,1,4,1,.549,.000,.000,6.000,9.5,5.1,7.4,10.1,5.4,0.0,0.0,8.6,138,96
Furkan Aldemir,20141227,PHI,0,UTA,88,PHI,71,6.05,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-2,.000,.000,.000,.000,15.6,0.0,8.0,0.0,0.0,0.0,0.0,7.8,47,109
Hollis Thompson,20141227,PHI,0,UTA,88,PHI,71,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Thomas,20141227,PHI,0,UTA,88,PHI,71,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luc Mbah a Moute,20141227,PHI,0,UTA,88,PHI,71,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
