Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Jamal Crawford,20150205,LAC,0,CLE,105,LAC,94,30.02,6,14,0.429,1,6,0.16699999999999998,0,0,,0,0,0,1,1,0,3,2,13,-25,.464,.464,.429,.000,0.0,0.0,0.0,5.6,1.7,0.0,17.6,24.3,77,117
Chris Paul,20150205,LAC,0,CLE,105,LAC,94,27.47,4,14,0.28600000000000003,1,4,0.25,1,2,0.5,0,2,2,9,1,0,0,3,10,-22,.694,.750,.000,1.000,16.8,36.6,25.8,0.0,0.0,4.2,14.8,10.6,132,105
DeAndre Jordan,20150205,LAC,0,CLE,105,LAC,94,27.47,3,4,0.75,0,0,,2,4,0.5,5,9,14,0,0,1,1,3,8,-22,.336,.321,.286,.143,0.0,8.1,3.7,50.7,1.8,0.0,0.0,23.3,96,113
Blake Griffin,20150205,LAC,0,CLE,105,LAC,94,26.57,7,17,0.41200000000000003,0,0,,2,3,0.667,3,5,8,4,0,0,1,3,16,-23,.437,.412,.000,.176,10.4,21.0,15.2,28.5,0.0,0.0,5.2,31.2,100,112
Matt Barnes,20150205,LAC,0,CLE,105,LAC,94,23.82,2,5,0.4,0,2,0.0,0,0,,1,2,3,2,0,0,3,3,4,-17,.400,.400,.400,.000,3.9,9.4,6.4,11.9,0.0,0.0,37.5,14.4,63,117
Austin Rivers,20150205,LAC,0,CLE,105,LAC,94,22.08,4,11,0.364,1,2,0.5,1,2,0.5,3,2,5,5,2,0,1,5,10,11,.421,.409,.182,.182,12.5,10.1,11.4,37.1,4.6,0.0,7.8,25.0,103,106
Dahntay Jones,20150205,LAC,0,CLE,105,LAC,94,20.58,2,4,0.5,0,0,,1,2,0.5,0,1,1,1,1,0,1,3,5,8,.512,.500,.000,.500,0.0,5.4,2.5,7.0,2.5,0.0,17.0,12.3,90,113
Glen Davis,20150205,LAC,0,CLE,105,LAC,94,19.33,3,9,0.33299999999999996,0,1,0.0,1,2,0.5,1,2,3,0,0,0,0,2,7,15,.354,.333,.111,.222,4.8,11.5,7.8,0.0,0.0,0.0,0.0,21.9,82,116
Spencer Hawes,20150205,LAC,0,CLE,105,LAC,94,17.7,4,6,0.667,1,2,0.5,2,2,1.0,1,3,4,0,1,0,2,3,11,-11,.799,.750,.333,.333,5.2,18.9,11.4,0.0,2.9,0.0,22.5,21.5,116,107
C.J. Wilcox,20150205,LAC,0,CLE,105,LAC,94,16.8,2,6,0.33299999999999996,1,5,0.2,1,1,1.0,0,1,1,1,1,0,0,1,6,16,.466,.417,.833,.167,0.0,6.6,3.0,8.8,3.0,0.0,0.0,16.5,106,112
Ekpe Udoh,20150205,LAC,0,CLE,105,LAC,94,6.4,1,1,1.0,0,0,,2,2,1.0,0,2,2,1,2,0,0,0,4,18,1.064,1.000,.000,2.000,0.0,34.9,15.8,24.6,15.9,0.0,0.0,12.6,225,72
Hedo Turkoglu,20150205,LAC,0,CLE,105,LAC,94,1.77,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119
J.J. Redick,20150205,LAC,0,CLE,105,LAC,94,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
