Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Brook Lopez,20150422,BRK,0,ATL,96,BRK,91,39.45,8,15,0.5329999999999999,0,0,,4,4,1.0,3,4,7,0,0,3,0,4,20,-5,.597,.533,.000,.267,8.9,9.9,9.5,0.0,0.0,6.2,0.0,20.0,127,103
Joe Johnson,20150422,BRK,0,ATL,96,BRK,91,39.43,6,16,0.375,3,8,0.375,4,4,1.0,0,9,9,3,1,0,1,3,19,-18,.535,.469,.500,.250,0.0,22.4,12.2,13.2,1.3,0.0,5.3,22.4,108,102
Bojan Bogdanovic,20150422,BRK,0,ATL,96,BRK,91,33.67,3,9,0.33299999999999996,2,6,0.33299999999999996,0,0,,0,3,3,2,0,1,1,3,8,-5,.444,.444,.667,.000,0.0,8.7,4.8,9.3,0.0,2.4,10.0,14.0,86,106
Deron Williams,20150422,BRK,0,ATL,96,BRK,91,28.13,1,7,0.14300000000000002,0,2,0.0,0,0,,1,9,10,8,2,0,3,1,2,-11,.143,.143,.286,.000,4.2,31.3,19.0,41.0,3.6,0.0,30.0,16.7,64,95
Thaddeus Young,20150422,BRK,0,ATL,96,BRK,91,23.75,1,7,0.14300000000000002,0,1,0.0,0,2,0.0,2,3,5,6,1,0,3,4,2,2,.127,.143,.143,.286,9.9,12.4,11.2,36.8,2.1,0.0,27.6,21.6,56,103
Alan Anderson,20150422,BRK,0,ATL,96,BRK,91,29.87,5,7,0.7140000000000001,1,2,0.5,2,3,0.667,1,4,5,1,0,0,2,1,13,2,.781,.786,.286,.429,3.9,13.1,8.9,6.0,0.0,0.0,19.4,16.3,121,108
Jarrett Jack,20150422,BRK,0,ATL,96,BRK,91,28.57,9,13,0.6920000000000001,2,5,0.4,3,3,1.0,0,5,5,3,1,0,4,2,23,9,.803,.769,.385,.231,0.0,17.1,9.3,25.4,1.8,0.0,21.8,30.2,118,102
Mason Plumlee,20150422,BRK,0,ATL,96,BRK,91,13.3,2,2,1.0,0,0,,0,2,0.0,1,2,3,0,1,1,1,3,4,3,.694,1.000,.000,1.000,8.8,14.7,12.0,0.0,3.8,6.1,25.8,13.7,90,93
Mirza Teletovic,20150422,BRK,0,ATL,96,BRK,91,3.83,0,2,0.0,0,2,0.0,0,0,,0,2,2,0,0,0,1,0,0,-2,.000,.000,1.000,.000,0.0,51.1,27.8,0.0,0.0,0.0,33.3,36.9,0,97
Darius Morris,20150422,BRK,0,ATL,96,BRK,91,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markel Brown,20150422,BRK,0,ATL,96,BRK,91,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Jordan,20150422,BRK,0,ATL,96,BRK,91,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cory Jefferson,20150422,BRK,0,ATL,96,BRK,91,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
