Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Gary Harris,20160226,DEN,0,DAL,122,DEN,116,45.65,6,13,0.462,3,9,0.33299999999999996,2,5,0.4,2,2,4,0,2,0,1,4,17,-4,.559,.577,.692,.385,4.4,5.7,4.9,0.0,2.3,0.0,6.2,15.5,117,121
Kenneth Faried,20160226,DEN,0,DAL,122,DEN,116,33.75,8,12,0.667,0,0,,4,6,0.667,6,6,12,0,1,1,1,4,20,-20,.683,.667,.000,.500,17.8,23.0,20.0,0.0,1.5,2.7,6.4,20.2,143,117
Danilo Gallinari,20160226,DEN,0,DAL,122,DEN,116,27.95,4,11,0.364,1,3,0.33299999999999996,3,5,0.6,3,4,7,3,0,1,2,2,12,-1,.455,.409,.273,.455,10.7,18.5,14.1,16.1,0.0,3.2,13.2,23.7,103,121
Emmanuel Mudiay,20160226,DEN,0,DAL,122,DEN,116,26.32,1,5,0.2,0,1,0.0,2,2,1.0,0,2,2,6,1,0,4,3,4,-4,.340,.200,.200,.400,0.0,9.8,4.3,29.5,2.0,0.0,40.5,16.4,71,120
Nikola Jokic,20160226,DEN,0,DAL,122,DEN,116,10.97,2,4,0.5,0,0,,1,2,0.5,3,1,4,2,0,0,1,3,5,4,.512,.500,.000,.500,27.4,11.8,20.6,29.0,0.0,0.0,17.0,23.4,118,124
Will Barton,20160226,DEN,0,DAL,122,DEN,116,43.08,9,24,0.375,0,7,0.0,4,5,0.8,2,7,9,3,0,0,4,1,22,-7,.420,.375,.292,.208,4.6,21.0,11.8,11.6,0.0,0.0,13.2,30.5,89,123
D.J. Augustin,20160226,DEN,0,DAL,122,DEN,116,35.65,7,14,0.5,3,6,0.5,3,4,0.75,0,2,2,3,1,0,1,0,20,-6,.635,.607,.429,.286,0.0,7.3,3.2,13.7,1.5,0.0,6.0,20.5,135,122
Darrell Arthur,20160226,DEN,0,DAL,122,DEN,116,29.6,5,9,0.556,1,2,0.5,2,2,1.0,2,6,8,1,1,1,1,4,13,-1,.658,.611,.222,.222,6.8,26.2,15.2,5.3,1.8,3.0,9.2,16.0,135,115
Mike Miller,20160226,DEN,0,DAL,122,DEN,116,5.03,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,2,3,5,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,300,126
JaKarr Sampson,20160226,DEN,0,DAL,122,DEN,116,3.6,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,-4,,,,,0.0,0.0,0.0,0.0,14.4,0.0,,0.0,0,94
Joffrey Lauvergne,20160226,DEN,0,DAL,122,DEN,116,3.4,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,8,,,,,0.0,38.0,16.6,0.0,0.0,0.0,,0.0,0,118
Jusuf Nurkic,20160226,DEN,0,DAL,122,DEN,116,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jameer Nelson,20160226,DEN,0,DAL,122,DEN,116,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
