Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
C.J. McCollum,20160301,POR,0,POR,104,NYK,85,33.13,10,19,0.526,2,3,0.667,3,3,1.0,1,2,3,2,0,0,2,1,25,3,.615,.579,.158,.158,3.1,5.4,4.3,12.9,0.0,0.0,9.0,31.2,116,98
Damian Lillard,20160301,POR,0,POR,104,NYK,85,32.47,8,18,0.444,4,9,0.444,10,10,1.0,0,4,4,6,0,0,1,1,30,13,.670,.556,.500,.556,0.0,11.0,5.9,35.2,0.0,0.0,4.3,33.3,141,97
Mason Plumlee,20160301,POR,0,POR,104,NYK,85,26.92,0,3,0.0,0,0,,2,2,1.0,1,6,7,3,2,2,0,2,2,3,.258,.000,.000,.667,3.8,19.8,12.4,14.5,3.8,5.3,0.0,6.7,103,81
Al-Farouq Aminu,20160301,POR,0,POR,104,NYK,85,20.6,2,8,0.25,0,2,0.0,0,0,,0,4,4,1,1,2,1,2,4,-1,.250,.250,.250,.000,0.0,17.3,9.2,7.2,2.5,7.0,11.1,20.2,52,83
Noah Vonleh,20160301,POR,0,POR,104,NYK,85,15.18,2,8,0.25,0,2,0.0,0,0,,3,1,4,0,0,0,0,3,4,-4,.250,.250,.250,.000,20.2,5.9,12.5,0.0,0.0,0.0,0.0,24.4,77,98
Meyers Leonard,20160301,POR,0,POR,104,NYK,85,25.13,4,8,0.5,3,5,0.6,0,0,,2,12,14,1,0,1,0,5,11,19,.688,.688,.625,.000,8.1,42.4,26.5,6.5,0.0,2.9,0.0,14.7,147,85
Ed Davis,20160301,POR,0,POR,104,NYK,85,23.98,4,4,1.0,0,0,,1,3,0.33299999999999996,2,7,9,1,0,2,2,3,9,25,.846,1.000,.000,.750,8.5,25.9,17.8,6.9,0.0,6.0,27.3,14.1,125,87
Gerald Henderson,20160301,POR,0,POR,104,NYK,85,22.62,2,8,0.25,0,1,0.0,2,2,1.0,0,5,5,0,2,0,0,0,6,18,.338,.250,.125,.250,0.0,19.7,10.5,0.0,4.5,0.0,0.0,18.2,74,85
Allen Crabbe,20160301,POR,0,POR,104,NYK,85,21.98,2,7,0.28600000000000003,2,6,0.33299999999999996,0,0,,0,3,3,1,0,0,1,0,6,15,.429,.429,.857,.000,0.0,12.1,6.5,6.7,0.0,0.0,12.5,16.8,81,97
Maurice Harkless,20160301,POR,0,POR,104,NYK,85,12.95,2,3,0.667,1,2,0.5,0,0,,0,0,0,2,0,0,0,0,5,4,.833,.833,.667,.000,0.0,0.0,0.0,25.1,0.0,0.0,0.0,10.7,177,100
Brian Roberts,20160301,POR,0,POR,104,NYK,85,2.52,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0,.000,.000,.000,.000,0.0,70.6,37.8,0.0,0.0,0.0,0.0,18.4,0,81
Pat Connaughton,20160301,POR,0,POR,104,NYK,85,2.52,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,200,99
Chris Kaman,20160301,POR,0,POR,104,NYK,85,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
