Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Toney Douglas,20160314,NOP,0,GSW,125,NOP,107,37.57,6,14,0.429,4,10,0.4,6,6,1.0,1,4,5,8,3,0,4,3,22,-3,.661,.571,.714,.429,2.3,16.5,7.4,37.4,3.9,0.0,19.4,22.7,122,127
Alonzo Gee,20160314,NOP,0,GSW,125,NOP,107,31.25,3,6,0.5,0,1,0.0,4,4,1.0,4,1,5,1,4,0,1,2,10,-8,.644,.500,.167,.667,11.2,5.0,8.9,5.1,6.3,0.0,11.4,11.6,137,123
Anthony Davis,20160314,NOP,0,GSW,125,NOP,107,29.12,6,20,0.3,0,0,,10,11,0.909,5,7,12,1,1,2,2,3,22,-30,.443,.300,.000,.550,15.0,37.2,23.0,6.6,1.7,5.9,7.5,38.2,102,124
Jrue Holiday,20160314,NOP,0,GSW,125,NOP,107,28.13,5,16,0.313,1,5,0.2,2,2,1.0,0,4,4,4,2,0,1,1,13,-28,.385,.344,.313,.125,0.0,22.0,7.9,25.8,3.5,0.0,5.6,26.3,91,127
Dante Cunningham,20160314,NOP,0,GSW,125,NOP,107,20.78,1,6,0.16699999999999998,0,3,0.0,0,0,,2,1,3,0,0,1,0,4,2,-9,.167,.167,.500,.000,8.4,7.5,8.1,0.0,0.0,4.1,0.0,12.0,61,133
Luke Babbitt,20160314,NOP,0,GSW,125,NOP,107,34.57,5,11,0.455,1,2,0.5,1,2,0.5,1,4,5,1,2,0,0,2,12,-8,.505,.500,.182,.182,2.5,17.9,8.1,4.9,2.9,0.0,0.0,14.2,115,129
Ryan Anderson,20160314,NOP,0,GSW,125,NOP,107,30.65,6,13,0.462,0,2,0.0,7,9,0.778,2,2,4,2,0,0,0,3,19,-3,.560,.462,.154,.692,5.7,10.1,7.3,12.2,0.0,0.0,0.0,22.9,131,136
Orlando Johnson,20160314,NOP,0,GSW,125,NOP,107,22.32,2,5,0.4,1,2,0.5,0,0,,1,0,1,1,1,0,0,1,5,-7,.500,.500,.400,.000,3.9,0.0,2.5,7.0,2.2,0.0,0.0,9.3,122,133
Kendrick Perkins,20160314,NOP,0,GSW,125,NOP,107,5.62,1,2,0.5,0,0,,0,0,,1,0,1,0,1,0,0,0,2,6,.500,.500,.000,.000,15.5,0.0,9.9,0.0,8.8,0.0,0.0,14.7,124,118
Omer Asik,20160314,NOP,0,GSW,125,NOP,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Gordon,20160314,NOP,0,GSW,125,NOP,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Ajinca,20160314,NOP,0,GSW,125,NOP,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norris Cole,20160314,NOP,0,GSW,125,NOP,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
