Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Willie Reed,20170127,MIA,0,MIA,100,CHI,88,37.38,9,11,0.818,0,0,,2,2,1.0,2,3,5,1,1,0,0,3,20,16,.842,.818,.000,.182,6.3,9.2,7.7,4.4,1.3,0.0,0.0,14.7,171,96
Goran Dragic,20170127,MIA,0,MIA,100,CHI,88,34.33,12,20,0.6,1,4,0.25,1,1,1.0,1,4,5,11,3,0,5,1,26,19,.636,.625,.200,.050,3.4,13.3,8.4,63.5,4.3,0.0,19.7,34.3,114,89
Dion Waiters,20170127,MIA,0,MIA,100,CHI,88,33.97,6,18,0.33299999999999996,3,5,0.6,4,5,0.8,0,5,5,1,1,0,1,2,19,7,.470,.417,.278,.278,0.0,16.8,8.5,4.3,1.5,0.0,4.7,28.9,93,94
Rodney McGruder,20170127,MIA,0,MIA,100,CHI,88,27.93,3,4,0.75,1,1,1.0,2,2,1.0,0,4,4,0,3,0,0,1,9,17,.922,.875,.250,.500,0.0,16.4,8.3,0.0,5.3,0.0,0.0,8.1,183,86
Luke Babbitt,20170127,MIA,0,MIA,100,CHI,88,16.15,1,3,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,1,1,1,1,0,0,2,3,8,.500,.500,1.000,.000,0.0,7.1,3.6,7.8,3.1,0.0,0.0,8.6,110,93
James Johnson,20170127,MIA,0,MIA,100,CHI,88,30.77,3,15,0.2,0,2,0.0,0,1,0.0,4,5,9,9,1,1,3,1,6,-4,.194,.200,.133,.067,15.2,18.6,16.9,38.7,1.6,2.4,16.3,27.7,71,92
Wayne Ellington,20170127,MIA,0,MIA,100,CHI,88,27.37,6,16,0.375,2,8,0.25,0,0,,0,4,4,2,2,1,0,1,14,2,.438,.438,.500,.000,0.0,16.7,8.5,11.5,3.6,2.7,0.0,27.0,92,88
Okaro White,20170127,MIA,0,MIA,100,CHI,88,21.48,1,2,0.5,1,1,1.0,0,0,,0,4,4,0,1,0,0,3,3,-1,.750,.750,.500,.000,0.0,21.3,10.8,0.0,2.3,0.0,0.0,4.3,139,91
Udonis Haslem,20170127,MIA,0,MIA,100,CHI,88,10.62,0,0,,0,0,,0,0,,0,3,3,0,1,0,1,3,0,-4,,,,,0.0,32.3,16.3,0.0,4.7,0.0,100.0,4.4,0,83
Hassan Whiteside,20170127,MIA,0,MIA,100,CHI,88,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Williams,20170127,MIA,0,MIA,100,CHI,88,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
