Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Cory Joseph,20170304,TOR,0,MIL,101,TOR,94,37.42,5,11,0.455,2,4,0.5,2,2,1.0,1,4,5,8,0,0,1,3,14,8,.589,.545,.364,.182,3.6,12.2,8.2,35.9,0.0,0.0,7.8,17.4,126,115
Serge Ibaka,20170304,TOR,0,MIL,101,TOR,94,36.4,7,11,0.636,2,2,1.0,3,3,1.0,0,5,5,0,0,2,1,3,19,-6,.771,.727,.182,.273,0.0,15.7,8.5,0.0,0.0,4.4,7.5,18.5,134,110
DeMar DeRozan,20170304,TOR,0,MIL,101,TOR,94,31.3,5,13,0.385,0,1,0.0,1,1,1.0,0,3,3,4,0,0,3,3,11,3,.409,.385,.077,.077,0.0,11.0,5.9,22.4,0.0,0.0,18.2,26.6,75,115
Jonas Valanciunas,20170304,TOR,0,MIL,101,TOR,94,21.18,5,5,1.0,0,0,,3,4,0.75,0,7,7,1,0,0,2,3,13,5,.962,1.000,.000,.800,0.0,37.8,20.3,9.6,0.0,0.0,22.8,20.9,140,108
DeMarre Carroll,20170304,TOR,0,MIL,101,TOR,94,19.18,2,7,0.28600000000000003,0,4,0.0,0,0,,2,4,6,0,0,0,1,0,4,6,.286,.286,.571,.000,13.9,23.8,19.2,0.0,0.0,0.0,12.5,21.1,65,112
P.J. Tucker,20170304,TOR,0,MIL,101,TOR,94,28.82,3,10,0.3,2,5,0.4,1,2,0.5,0,4,4,1,1,0,0,2,9,-13,.414,.400,.500,.200,0.0,15.9,8.5,5.6,1.8,0.0,0.0,19.1,84,110
Norman Powell,20170304,TOR,0,MIL,101,TOR,94,25.77,4,8,0.5,0,1,0.0,4,4,1.0,0,2,2,3,0,0,1,4,12,-8,.615,.500,.125,.500,0.0,8.9,4.8,20.3,0.0,0.0,9.3,21.1,119,116
Patrick Patterson,20170304,TOR,0,MIL,101,TOR,94,19.2,2,4,0.5,1,2,0.5,0,0,,0,2,2,0,0,1,0,4,5,-16,.625,.625,.500,.000,0.0,11.9,6.4,0.0,0.0,4.2,0.0,10.5,115,111
Delon Wright,20170304,TOR,0,MIL,101,TOR,94,10.58,0,3,0.0,0,2,0.0,1,2,0.5,0,0,0,1,0,1,1,0,1,-15,.129,.000,.667,.667,0.0,0.0,0.0,13.0,0.0,7.6,20.5,23.3,32,112
Fred VanVleet,20170304,TOR,0,MIL,101,TOR,94,8.28,2,3,0.667,0,0,,2,2,1.0,0,2,2,2,1,0,1,1,6,5,.773,.667,.000,.667,0.0,27.6,14.9,49.5,6.4,0.0,20.5,29.8,132,97
Jakob Poeltl,20170304,TOR,0,MIL,101,TOR,94,1.87,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118
Pascal Siakam,20170304,TOR,0,MIL,101,TOR,94,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Nogueira,20170304,TOR,0,MIL,101,TOR,94,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
