Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Kemba Walker,20171027,CHO,1,HOU,109,CHO,93,38.62,8,22,0.364,4,6,0.667,6,6,1.0,1,2,3,5,1,1,1,0,26,-6,.528,.455,.273,.273,2.3,6.2,3.9,27.0,1.3,4.4,3.9,29.2,114,115
Dwight Howard,20171027,CHO,1,HOU,109,CHO,93,31.9,7,13,0.5379999999999999,0,0,,5,15,0.33299999999999996,7,9,16,2,1,1,2,2,19,-1,.485,.538,.000,1.154,19.2,33.9,25.3,13.4,1.6,5.4,9.3,29.7,103,108
Jeremy Lamb,20171027,CHO,1,HOU,109,CHO,93,29.97,8,16,0.5,3,6,0.5,1,2,0.5,0,3,3,3,1,1,2,2,20,-3,.592,.594,.375,.125,0.0,12.0,5.1,23.8,1.7,5.7,10.6,27.7,108,113
Marvin Williams,20171027,CHO,1,HOU,109,CHO,93,25.63,1,3,0.33299999999999996,1,1,1.0,0,0,,0,2,2,1,0,0,1,1,3,-3,.500,.500,.333,.000,0.0,9.4,3.9,6.0,0.0,0.0,25.0,6.9,81,120
Michael Kidd-Gilchrist,20171027,CHO,1,HOU,109,CHO,93,13.88,2,4,0.5,0,0,,0,0,,2,5,7,1,1,1,0,4,4,8,.500,.500,.000,.000,12.6,43.2,25.5,13.3,3.6,12.3,0.0,12.7,125,97
Frank Kaminsky,20171027,CHO,1,HOU,109,CHO,93,29.53,3,11,0.273,1,5,0.2,1,1,1.0,0,4,4,0,0,1,1,1,8,-23,.350,.318,.455,.091,0.0,16.3,6.8,0.0,0.0,5.8,8.0,18.5,67,116
Dwayne Bacon,20171027,CHO,1,HOU,109,CHO,93,29.12,0,6,0.0,0,4,0.0,1,2,0.5,0,4,4,1,0,0,2,2,1,-19,.073,.000,.667,.333,0.0,16.5,6.9,5.0,0.0,0.0,22.5,13.4,19,118
Malik Monk,20171027,CHO,1,HOU,109,CHO,93,27.72,3,9,0.33299999999999996,2,7,0.28600000000000003,2,2,1.0,1,2,3,2,1,0,0,1,10,-19,.506,.444,.778,.222,3.1,8.7,5.5,12.5,1.8,0.0,0.0,15.7,116,116
Johnny O'Bryant,20171027,CHO,1,HOU,109,CHO,93,13.63,1,4,0.25,0,0,,0,0,,0,2,2,1,1,0,0,1,2,-14,.250,.250,.000,.000,0.0,17.6,7.4,11.9,3.7,0.0,0.0,12.9,65,109
Mangok Mathiang,20171027,CHO,1,HOU,109,CHO,93,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Paige,20171027,CHO,1,HOU,109,CHO,93,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treveon Graham,20171027,CHO,1,HOU,109,CHO,93,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
