Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Brandon Ingram,20171031,LAL,1,LAL,113,DET,93,34.25,6,12,0.5,1,2,0.5,0,0,,0,5,5,6,4,1,5,1,13,17,.542,.542,.167,.000,0.0,13.5,7.2,23.0,5.8,2.3,29.4,21.4,87,87
Kentavious Caldwell-Pope,20171031,LAL,1,LAL,113,DET,93,27.95,4,10,0.4,2,5,0.4,3,4,0.75,0,6,6,2,1,0,2,2,13,12,.553,.500,.500,.400,0.0,19.8,10.6,9.0,1.8,0.0,14.5,21.3,101,96
Lonzo Ball,20171031,LAL,1,LAL,113,DET,93,27.77,6,13,0.462,1,3,0.33299999999999996,0,0,,2,4,6,3,0,2,0,0,13,8,.500,.500,.231,.000,7.7,13.3,10.7,15.0,0.0,5.7,0.0,20.2,118,97
Larry Nance,20171031,LAL,1,LAL,113,DET,93,27.2,5,10,0.5,0,0,,4,4,1.0,3,9,12,2,3,0,1,0,14,12,.595,.500,.000,.400,11.8,30.5,21.8,9.8,5.4,0.0,7.8,20.3,128,85
Brook Lopez,20171031,LAL,1,LAL,113,DET,93,21.3,3,9,0.33299999999999996,2,6,0.33299999999999996,0,0,,0,1,1,4,0,2,1,1,8,11,.444,.444,.667,.000,0.0,4.3,2.3,23.6,0.0,7.4,10.0,20.3,99,98
Jordan Clarkson,20171031,LAL,1,LAL,113,DET,93,20.92,4,9,0.444,1,2,0.5,1,1,1.0,0,3,3,4,0,0,0,1,10,15,.530,.500,.222,.111,0.0,13.2,7.1,25.6,0.0,0.0,0.0,19.5,126,102
Kyle Kuzma,20171031,LAL,1,LAL,113,DET,93,19.98,6,8,0.75,4,4,1.0,0,0,,2,4,6,3,0,0,0,1,16,8,1.000,1.000,.500,.000,10.7,18.5,14.9,23.6,0.0,0.0,0.0,17.3,196,101
Julius Randle,20171031,LAL,1,LAL,113,DET,93,17.42,7,9,0.778,0,1,0.0,3,5,0.6,0,7,7,3,1,0,3,3,17,10,.759,.778,.111,.556,0.0,37.1,19.9,32.2,2.8,0.0,21.1,35.2,117,88
Josh Hart,20171031,LAL,1,LAL,113,DET,93,17.0,1,3,0.33299999999999996,1,1,1.0,0,0,,0,2,2,1,0,0,1,1,3,8,.500,.500,.333,.000,0.0,10.9,5.8,6.7,0.0,0.0,25.0,10.2,83,103
Corey Brewer,20171031,LAL,1,LAL,113,DET,93,13.75,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,3,.000,.000,1.000,.000,0.0,0.0,0.0,7.8,0.0,0.0,0.0,3.1,60,106
Andrew Bogut,20171031,LAL,1,LAL,113,DET,93,7.73,2,3,0.667,0,0,,0,0,,3,1,4,1,0,0,0,2,4,2,.667,.667,.000,.000,41.4,11.9,25.6,19.0,0.0,0.0,0.0,16.8,166,102
Tyler Ennis,20171031,LAL,1,LAL,113,DET,93,2.37,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,2,-3,.000,.000,.000,.000,45.1,0.0,20.9,0.0,0.0,0.0,33.3,54.7,26,104
Ivica Zubac,20171031,LAL,1,LAL,113,DET,93,2.37,0,2,0.0,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-3,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,97,104
