Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Ersan Ilyasova,20180105,ATL,0,POR,110,ATL,89,27.08,4,11,0.364,1,4,0.25,0,0,,2,9,11,3,2,1,0,1,9,-9,.409,.409,.364,.000,7.2,46.9,23.5,23.2,3.7,3.5,0.0,17.7,103,106
Taurean Waller-Prince,20180105,ATL,0,POR,110,ATL,89,24.97,4,11,0.364,1,4,0.25,2,2,1.0,1,7,8,2,1,0,2,3,11,-3,.463,.409,.364,.182,3.9,39.6,18.5,17.2,2.0,0.0,14.4,24.3,90,114
Kent Bazemore,20180105,ATL,0,POR,110,ATL,89,24.35,3,9,0.33299999999999996,0,1,0.0,1,2,0.5,0,0,0,0,0,1,2,0,7,-21,.354,.333,.111,.222,0.0,0.0,0.0,0.0,0.0,3.9,16.8,21.3,61,120
Dennis Schroder,20180105,ATL,0,POR,110,ATL,89,22.7,5,14,0.35700000000000004,1,4,0.25,3,3,1.0,1,1,2,4,1,1,4,1,14,-18,.457,.393,.286,.214,4.3,6.2,5.1,43.5,2.2,4.2,20.7,37.1,85,114
Miles Plumlee,20180105,ATL,0,POR,110,ATL,89,20.83,2,2,1.0,0,0,,0,0,,1,1,2,0,0,1,0,2,4,-7,1.000,1.000,.000,.000,4.7,6.8,5.6,0.0,0.0,4.6,0.0,4.2,204,119
John Collins,20180105,ATL,0,POR,110,ATL,89,22.38,1,5,0.2,0,2,0.0,5,7,0.7140000000000001,3,2,5,0,2,1,3,3,7,-17,.433,.200,.400,1.400,13.1,12.6,12.9,0.0,4.5,4.3,27.1,21.6,78,108
Isaiah Taylor,20180105,ATL,0,POR,110,ATL,89,22.07,3,7,0.429,0,1,0.0,2,2,1.0,1,2,3,2,0,0,2,3,8,-4,.508,.429,.143,.286,4.4,12.8,7.9,18.5,0.0,0.0,20.2,19.5,93,122
Marco Belinelli,20180105,ATL,0,POR,110,ATL,89,18.27,3,8,0.375,2,3,0.667,0,0,,1,0,1,0,0,0,2,1,8,-25,.500,.500,.375,.000,5.4,0.0,3.2,0.0,0.0,0.0,20.0,23.9,82,124
Malcolm Delaney,20180105,ATL,0,POR,110,ATL,89,18.12,2,5,0.4,2,3,0.667,2,2,1.0,0,0,0,2,0,0,0,1,8,-5,.680,.600,.600,.400,0.0,0.0,0.0,21.5,0.0,0.0,0.0,14.2,151,124
Tyler Cavanaugh,20180105,ATL,0,POR,110,ATL,89,12.13,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,-2,.347,.000,1.000,1.000,0.0,23.3,9.5,0.0,0.0,0.0,0.0,10.4,82,121
Tyler Dorsey,20180105,ATL,0,POR,110,ATL,89,10.57,2,6,0.33299999999999996,1,1,1.0,3,4,0.75,0,2,2,0,1,0,0,0,8,2,.515,.417,.167,.667,0.0,26.7,10.9,0.0,4.8,0.0,0.0,32.0,111,109
Luke Babbitt,20180105,ATL,0,POR,110,ATL,89,8.27,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,1,0,0,1,1,3,2,.000,.000,.000,.000,11.8,17.1,14.0,0.0,0.0,0.0,0.0,5.3,54,121
Mike Muscala,20180105,ATL,0,POR,110,ATL,89,8.27,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,0,0,0,2,.615,.500,.500,.500,0.0,17.1,7.0,24.0,0.0,0.0,29.1,18.2,97,121
