Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Tyreke Evans,20180115,MEM,1,MEM,123,LAL,114,35.62,7,15,0.467,1,4,0.25,0,0,,2,7,9,12,1,0,2,2,15,0,.500,.500,.267,.000,7.1,17.5,13.2,49.7,1.3,0.0,11.8,19.9,119,108
Marc Gasol,20180115,MEM,1,MEM,123,LAL,114,34.43,6,14,0.429,0,2,0.0,5,5,1.0,0,7,7,4,1,1,4,3,17,6,.525,.429,.143,.357,0.0,18.1,10.6,16.6,1.3,2.3,19.8,24.5,93,106
JaMychal Green,20180115,MEM,1,MEM,123,LAL,114,27.43,4,8,0.5,1,2,0.5,2,3,0.667,1,8,9,1,0,0,0,4,11,-2,.590,.563,.250,.375,4.6,25.9,17.1,5.0,0.0,0.0,0.0,14.2,127,108
Dillon Brooks,20180115,MEM,1,MEM,123,LAL,114,26.73,6,8,0.75,4,5,0.8,3,4,0.75,1,3,4,2,0,0,2,5,19,-11,.973,1.000,.625,.500,4.7,10.0,7.8,11.5,0.0,0.0,17.0,18.4,153,114
Andrew Harrison,20180115,MEM,1,MEM,123,LAL,114,26.7,3,7,0.429,1,2,0.5,1,1,1.0,0,3,3,3,0,0,3,3,8,3,.538,.500,.286,.143,0.0,10.0,5.9,14.7,0.0,0.0,28.7,16.3,86,114
James Ennis,20180115,MEM,1,MEM,123,LAL,114,21.27,4,6,0.667,1,2,0.5,4,4,1.0,0,3,3,0,2,2,1,2,13,20,.838,.750,.333,.667,0.0,12.5,7.4,0.0,4.2,7.4,11.4,17.2,145,98
Jarell Martin,20180115,MEM,1,MEM,123,LAL,114,20.57,4,5,0.8,0,0,,2,4,0.5,0,3,3,0,0,0,2,3,10,11,.740,.800,.000,.800,0.0,13.0,7.6,0.0,0.0,0.0,22.8,17.8,104,113
Mario Chalmers,20180115,MEM,1,MEM,123,LAL,114,19.9,1,8,0.125,1,3,0.33299999999999996,4,4,1.0,0,4,4,1,2,0,1,2,7,12,.359,.188,.375,.500,0.0,17.9,10.5,6.1,4.5,0.0,9.3,22.6,75,101
Wayne Selden,20180115,MEM,1,MEM,123,LAL,114,13.78,3,6,0.5,1,2,0.5,6,7,0.857,0,1,1,1,2,0,2,1,13,3,.716,.583,.333,1.167,0.0,6.4,3.8,11.0,6.5,0.0,18.1,33.6,121,100
Deyonta Davis,20180115,MEM,1,MEM,123,LAL,114,13.57,4,5,0.8,0,0,,2,2,1.0,2,3,5,0,0,5,1,1,10,3,.850,.800,.000,.400,18.6,19.7,19.2,0.0,0.0,29.0,14.5,21.2,148,90
Brandan Wright,20180115,MEM,1,MEM,123,LAL,114,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben McLemore,20180115,MEM,1,MEM,123,LAL,114,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Rabb,20180115,MEM,1,MEM,123,LAL,114,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
