Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Joe Ingles,20181123,UTA,0,LAL,90,UTA,83,37.4,7,12,0.583,2,4,0.5,0,0,,1,7,8,5,0,0,3,3,16,-7,.667,.667,.333,.000,2.6,23.0,11.7,26.7,0.0,0.0,20.0,17.3,106,93
Rudy Gobert,20181123,UTA,0,LAL,90,UTA,83,33.73,5,7,0.7140000000000001,0,0,,3,5,0.6,2,5,7,0,1,1,2,1,13,-10,.707,.714,.000,.714,5.8,18.2,11.3,0.0,1.4,2.5,17.9,14.3,113,88
Ricky Rubio,20181123,UTA,0,LAL,90,UTA,83,25.07,3,12,0.25,0,4,0.0,1,1,1.0,0,1,1,5,2,1,3,3,7,-6,.281,.250,.333,.083,0.0,4.9,2.2,35.1,3.7,3.4,19.4,26.5,58,84
Derrick Favors,20181123,UTA,0,LAL,90,UTA,83,23.65,5,7,0.7140000000000001,0,0,,0,0,,2,1,3,4,0,0,0,1,10,-3,.714,.714,.000,.000,8.3,5.2,6.9,35.5,0.0,0.0,0.0,12.7,152,95
Donovan Mitchell,20181123,UTA,0,LAL,90,UTA,83,11.55,2,9,0.222,0,4,0.0,0,0,,0,3,3,1,2,0,2,1,4,-2,.222,.222,.444,.000,0.0,32.0,14.2,16.8,8.1,0.0,18.2,41.0,40,74
Jae Crowder,20181123,UTA,0,LAL,90,UTA,83,27.77,2,12,0.16699999999999998,0,5,0.0,1,2,0.5,0,3,3,1,3,1,1,2,5,4,.194,.167,.417,.167,0.0,13.3,5.9,5.9,5.0,3.1,7.2,21.5,41,81
Royce O'Neale,20181123,UTA,0,LAL,90,UTA,83,26.28,1,4,0.25,0,2,0.0,0,0,,0,5,5,4,1,0,1,2,2,-7,.250,.250,.500,.000,0.0,23.4,10.4,23.4,1.8,0.0,20.0,8.2,66,89
Alec Burks,20181123,UTA,0,LAL,90,UTA,83,22.33,5,15,0.33299999999999996,1,3,0.33299999999999996,6,7,0.857,1,4,5,0,1,0,2,3,17,1,.470,.367,.200,.467,4.4,22.0,12.2,0.0,2.1,0.0,10.0,38.7,87,88
Dante Exum,20181123,UTA,0,LAL,90,UTA,83,18.72,1,4,0.25,0,0,,0,0,,1,1,2,2,1,0,2,3,2,2,.250,.250,.000,.000,5.2,6.6,5.8,16.9,2.5,0.0,33.3,13.8,52,89
Thabo Sefolosha,20181123,UTA,0,LAL,90,UTA,83,10.85,2,2,1.0,1,1,1.0,2,2,1.0,0,4,4,0,0,0,2,1,7,-5,1.215,1.250,.500,1.000,0.0,45.4,20.1,0.0,0.0,0.0,41.0,19.4,112,90
Grayson Allen,20181123,UTA,0,LAL,90,UTA,83,2.65,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,1,1,0,-2,.000,.000,.000,.000,0.0,0.0,0.0,0.0,17.6,0.0,50.0,32.5,0,56
Raul Neto,20181123,UTA,0,LAL,90,UTA,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekpe Udoh,20181123,UTA,0,LAL,90,UTA,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
