Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Russell Westbrook,20181217,OKC,1,OKC,121,CHI,96,31.53,5,13,0.385,0,0,,3,4,0.75,4,12,16,11,5,0,4,3,13,25,.440,.385,.000,.308,13.5,40.6,27.1,47.3,7.5,0.0,21.3,23.3,108,76
Paul George,20181217,OKC,1,OKC,121,CHI,96,30.93,8,19,0.42100000000000004,4,10,0.4,4,4,1.0,2,6,8,4,3,0,3,1,24,22,.578,.526,.526,.211,6.9,20.7,13.8,20.3,4.6,0.0,12.6,30.1,120,89
Steven Adams,20181217,OKC,1,OKC,121,CHI,96,30.5,8,14,0.5710000000000001,0,0,,3,6,0.5,5,3,8,1,2,0,2,2,19,26,.571,.571,.000,.429,17.5,10.5,14.0,5.2,3.1,0.0,10.7,23.9,118,96
Jerami Grant,20181217,OKC,1,OKC,121,CHI,96,29.65,5,9,0.556,0,0,,3,4,0.75,1,1,2,1,0,0,0,3,13,18,.604,.556,.000,.444,3.6,3.6,3.6,4.6,0.0,0.0,0.0,14.2,140,105
Terrance Ferguson,20181217,OKC,1,OKC,121,CHI,96,13.9,1,5,0.2,1,2,0.5,2,2,1.0,1,0,1,0,1,0,0,1,5,-3,.425,.300,.400,.400,7.7,0.0,3.8,0.0,3.4,0.0,0.0,16.6,117,99
Dennis Schroder,20181217,OKC,1,OKC,121,CHI,96,29.68,6,10,0.6,1,3,0.33299999999999996,5,5,1.0,0,1,1,3,0,0,5,3,18,31,.738,.650,.300,.500,0.0,3.6,1.8,14.6,0.0,0.0,29.1,22.7,110,105
Patrick Patterson,20181217,OKC,1,OKC,121,CHI,96,18.35,1,4,0.25,0,2,0.0,0,0,,0,3,3,3,0,0,0,0,2,7,.250,.250,.500,.000,0.0,17.4,8.7,19.4,0.0,0.0,0.0,8.5,99,101
Nerlens Noel,20181217,OKC,1,OKC,121,CHI,96,17.5,1,3,0.33299999999999996,0,0,,3,3,1.0,1,3,4,1,1,2,3,4,5,-1,.579,.333,.000,1.000,6.1,18.3,12.2,6.8,2.7,8.7,41.0,16.4,83,89
Hamidou Diallo,20181217,OKC,1,OKC,121,CHI,96,17.07,4,5,0.8,0,0,,2,3,0.667,1,0,1,0,1,0,2,2,10,3,.791,.800,.000,.600,6.3,0.0,3.1,0.0,2.8,0.0,24.0,19.1,116,100
Alex Abrines,20181217,OKC,1,OKC,121,CHI,96,13.58,3,4,0.75,2,3,0.667,0,0,,2,1,3,0,1,0,0,1,8,4,1.000,1.000,.750,.000,15.7,7.9,11.8,0.0,3.5,0.0,0.0,11.5,203,96
Abdel Nader,20181217,OKC,1,OKC,121,CHI,96,4.42,1,1,1.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,4,-3,1.064,1.000,.000,2.000,0.0,24.2,12.1,0.0,0.0,0.0,0.0,16.7,228,99
Timothe Luwawu-Cabarrot,20181217,OKC,1,OKC,121,CHI,96,2.88,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,-4,.000,.000,.500,.000,0.0,37.0,18.5,0.0,0.0,0.0,0.0,27.2,0,94
Raymond Felton,20181217,OKC,1,OKC,121,CHI,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
