Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Luka Doncic,20181226,DAL,1,DAL,122,NOP,119,31.35,5,13,0.385,0,5,0.0,11,12,0.917,1,8,9,10,1,0,1,2,21,3,.574,.385,.385,.923,3.8,27.2,16.2,48.8,1.5,0.0,5.2,26.9,137,117
Harrison Barnes,20181226,DAL,1,DAL,122,NOP,119,31.03,5,12,0.41700000000000004,3,6,0.5,3,4,0.75,1,3,4,1,0,0,0,1,16,2,.581,.542,.500,.333,3.9,10.3,7.3,4.9,0.0,0.0,0.0,19.4,125,123
DeAndre Jordan,20181226,DAL,1,DAL,122,NOP,119,30.13,7,7,1.0,0,0,,6,8,0.75,1,11,12,2,0,1,3,2,20,0,.951,1.000,.000,1.143,4.0,38.9,22.5,11.4,0.0,2.5,22.2,19.6,146,116
Wesley Matthews,20181226,DAL,1,DAL,122,NOP,119,28.4,3,7,0.429,0,2,0.0,2,2,1.0,0,3,3,1,1,0,3,4,8,-1,.508,.429,.286,.286,0.0,11.3,6.0,5.0,1.7,0.0,27.6,16.8,77,119
Maxi Kleber,20181226,DAL,1,DAL,122,NOP,119,24.22,4,9,0.444,2,5,0.4,0,0,,2,1,3,0,0,6,1,3,10,5,.556,.556,.556,.000,9.9,4.4,7.0,0.0,0.0,18.9,10.0,18.1,107,106
J.J. Barea,20181226,DAL,1,DAL,122,NOP,119,28.58,7,13,0.5379999999999999,4,6,0.667,0,0,,0,5,5,7,1,0,4,2,18,4,.692,.692,.462,.000,0.0,18.7,9.9,43.1,1.7,0.0,23.5,26.0,114,118
Dorian Finney-Smith,20181226,DAL,1,DAL,122,NOP,119,19.63,0,3,0.0,0,2,0.0,1,2,0.5,1,2,3,0,0,2,0,0,1,1,.129,.000,.667,.667,6.1,10.9,8.6,0.0,0.0,7.8,0.0,8.6,52,116
Dwight Powell,20181226,DAL,1,DAL,122,NOP,119,17.8,2,4,0.5,0,2,0.0,1,2,0.5,1,2,3,0,0,1,0,4,5,3,.512,.500,.500,.500,6.7,12.0,9.5,0.0,0.0,4.3,0.0,12.0,116,118
Devin Harris,20181226,DAL,1,DAL,122,NOP,119,17.1,4,7,0.5710000000000001,2,4,0.5,6,6,1.0,1,2,3,1,0,1,0,4,16,2,.830,.714,.571,.857,7.0,12.5,9.9,10.1,0.0,4.5,0.0,24.7,175,118
Dirk Nowitzki,20181226,DAL,1,DAL,122,NOP,119,11.68,2,6,0.33299999999999996,1,3,0.33299999999999996,2,2,1.0,0,1,1,1,0,2,0,3,7,-4,.509,.417,.500,.333,0.0,9.1,4.8,13.3,0.0,13.0,0.0,25.8,114,111
Salah Mejri,20181226,DAL,1,DAL,122,NOP,119,0.07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125
Ryan Broekhoff,20181226,DAL,1,DAL,122,NOP,119,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Brunson,20181226,DAL,1,DAL,122,NOP,119,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
