Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Marco Belinelli,20190206,SAS,0,GSW,141,SAS,102,24.78,3,9,0.33299999999999996,2,5,0.4,1,1,1.0,0,1,1,0,0,0,1,2,9,-19,.477,.444,.556,.111,0.0,4.8,2.4,0.0,0.0,0.0,9.6,18.7,80,146
Davis Bertans,20190206,SAS,0,GSW,141,SAS,102,22.67,3,7,0.429,2,5,0.4,4,4,1.0,0,2,2,2,0,2,1,1,12,-16,.685,.571,.714,.571,0.0,10.6,5.2,14.8,0.0,6.9,10.2,19.1,125,140
Jakob Poeltl,20190206,SAS,0,GSW,141,SAS,102,20.02,3,4,0.75,0,0,,1,1,1.0,2,1,3,6,2,0,1,4,7,-2,.788,.750,.000,.250,11.4,6.0,8.8,51.7,4.7,0.0,18.4,12.1,159,134
Rudy Gay,20190206,SAS,0,GSW,141,SAS,102,19.57,6,12,0.5,1,3,0.33299999999999996,2,2,1.0,0,3,3,3,0,0,3,2,15,-4,.582,.542,.250,.167,0.0,18.4,9.0,36.3,0.0,0.0,18.9,36.0,94,142
Patty Mills,20190206,SAS,0,GSW,141,SAS,102,17.45,6,10,0.6,4,7,0.5710000000000001,0,0,,0,2,2,4,1,0,3,1,16,-4,.800,.800,.700,.000,0.0,13.8,6.7,59.5,2.7,0.0,23.1,33.0,114,137
Dante Cunningham,20190206,SAS,0,GSW,141,SAS,102,30.83,4,5,0.8,1,2,0.5,2,2,1.0,1,4,5,1,0,0,1,2,11,-32,.935,.900,.400,.400,3.7,15.6,9.5,5.4,0.0,0.0,14.5,9.9,156,143
Lonnie Walker,20190206,SAS,0,GSW,141,SAS,102,25.87,0,10,0.0,0,2,0.0,4,4,1.0,0,3,3,1,2,0,3,0,4,-27,.170,.000,.200,.400,0.0,13.9,6.8,5.3,3.7,0.0,20.3,25.3,33,135
Drew Eubanks,20190206,SAS,0,GSW,141,SAS,102,21.13,3,3,1.0,0,0,,3,3,1.0,0,1,1,0,0,2,2,3,9,-33,1.042,1.000,.000,1.000,0.0,5.7,2.8,0.0,0.0,7.4,31.6,13.3,130,141
Quincy Pondexter,20190206,SAS,0,GSW,141,SAS,102,19.97,3,6,0.5,0,2,0.0,0,0,,0,1,1,3,0,0,0,2,6,-19,.500,.500,.333,.000,0.0,6.0,2.9,26.0,0.0,0.0,0.0,13.3,113,145
Bryn Forbes,20190206,SAS,0,GSW,141,SAS,102,18.97,3,11,0.273,2,6,0.33299999999999996,2,2,1.0,0,2,2,1,1,0,3,1,10,-28,.421,.364,.545,.182,0.0,12.7,6.2,9.2,2.5,0.0,20.2,34.8,67,138
Chimezie Metu,20190206,SAS,0,GSW,141,SAS,102,13.4,1,3,0.33299999999999996,0,0,,0,0,,1,4,5,2,0,0,0,1,2,-4,.333,.333,.000,.000,8.5,35.8,21.8,22.8,0.0,0.0,0.0,9.9,106,138
Pau Gasol,20190206,SAS,0,GSW,141,SAS,102,5.35,0,1,0.0,0,0,,1,2,0.5,0,2,2,1,0,1,0,0,1,-7,.266,.000,.000,2.000,0.0,44.9,21.9,25.6,0.0,14.7,0.0,15.6,80,127
