Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Damyean Dotson,20190224,NYK,1,NYK,130,SAS,118,36.6,9,17,0.529,8,13,0.615,1,2,0.5,0,5,5,2,1,0,0,3,27,14,.755,.765,.765,.118,0.0,12.9,6.6,6.9,1.3,0.0,0.0,20.9,153,120
Kevin Knox,20190224,NYK,1,NYK,130,SAS,118,32.88,8,18,0.444,1,6,0.16699999999999998,2,3,0.667,0,10,10,2,0,1,2,5,19,10,.492,.472,.333,.167,0.0,28.6,14.7,7.6,0.0,2.1,9.4,27.7,96,116
Lance Thomas,20190224,NYK,1,NYK,130,SAS,118,30.37,7,13,0.5379999999999999,2,4,0.5,0,0,,4,3,7,1,0,0,0,5,16,11,.615,.615,.308,.000,13.2,9.3,11.2,4.1,0.0,0.0,0.0,18.3,141,125
Dennis Smith,20190224,NYK,1,NYK,130,SAS,118,29.73,8,17,0.47100000000000003,1,1,1.0,2,3,0.667,0,6,6,13,2,0,0,3,19,10,.519,.500,.059,.176,0.0,19.0,9.8,56.6,3.3,0.0,0.0,26.3,138,114
Noah Vonleh,20190224,NYK,1,NYK,130,SAS,118,17.95,1,3,0.33299999999999996,0,1,0.0,1,1,1.0,1,2,3,3,0,1,0,4,3,5,.436,.333,.333,.333,5.6,10.5,8.1,17.0,0.0,3.8,0.0,8.2,139,121
Mitchell Robinson,20190224,NYK,1,NYK,130,SAS,118,30.05,5,7,0.7140000000000001,0,0,,5,7,0.7140000000000001,6,8,14,1,0,5,1,4,15,7,.744,.714,.000,1.000,20.0,25.1,22.6,3.8,0.0,11.4,9.0,15.8,158,110
Allonzo Trier,20190224,NYK,1,NYK,130,SAS,118,28.4,3,10,0.3,0,5,0.0,3,3,1.0,1,2,3,1,0,0,0,2,9,7,.398,.300,.500,.300,3.5,6.6,5.1,3.8,0.0,0.0,0.0,17.0,99,126
Emmanuel Mudiay,20190224,NYK,1,NYK,130,SAS,118,19.07,8,10,0.8,3,5,0.6,0,0,,0,0,0,1,0,0,3,0,19,0,.950,.950,.500,.000,0.0,0.0,0.0,8.4,0.0,0.0,23.1,29.1,128,128
John Jenkins,20190224,NYK,1,NYK,130,SAS,118,11.4,1,2,0.5,1,1,1.0,0,0,,0,1,1,1,0,0,0,0,3,-2,.750,.750,.500,.000,0.0,8.3,4.3,9.2,0.0,0.0,0.0,7.5,164,125
Henry Ellenson,20190224,NYK,1,NYK,130,SAS,118,3.55,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-2,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,128
Mario Hezonja,20190224,NYK,1,NYK,130,SAS,118,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Kornet,20190224,NYK,1,NYK,130,SAS,118,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
