Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Clint Capela,20190227,HOU,0,HOU,118,CHO,113,40.87,10,16,0.625,0,0,,3,4,0.75,5,12,17,2,1,1,0,3,23,13,.648,.625,.000,.250,12.5,37.1,23.5,7.8,1.1,2.3,0.0,18.7,143,108
P.J. Tucker,20190227,HOU,0,HOU,118,CHO,113,35.95,5,5,1.0,5,5,1.0,0,0,,0,2,2,0,1,0,1,3,15,-17,1.500,1.500,1.000,.000,0.0,7.0,3.1,0.0,1.3,0.0,16.7,7.2,214,115
James Harden,20190227,HOU,0,HOU,118,CHO,113,35.75,10,29,0.345,1,11,0.091,9,9,1.0,0,3,3,7,2,1,1,2,30,-14,.455,.362,.379,.310,0.0,10.6,4.7,32.9,2.6,2.7,2.9,40.9,102,110
Eric Gordon,20190227,HOU,0,HOU,118,CHO,113,35.43,3,10,0.3,0,5,0.0,0,0,,0,1,1,2,3,0,0,3,6,-8,.300,.300,.500,.000,0.0,3.6,1.6,7.1,4.0,0.0,0.0,12.1,71,110
Chris Paul,20190227,HOU,0,HOU,118,CHO,113,32.22,7,13,0.5379999999999999,2,6,0.33299999999999996,1,2,0.5,0,4,4,10,2,0,6,2,17,17,.612,.615,.462,.154,0.0,15.7,7.0,47.2,2.9,0.0,30.2,26.6,100,110
Gerald Green,20190227,HOU,0,HOU,118,CHO,113,23.53,4,8,0.5,2,4,0.5,5,5,1.0,1,4,5,1,2,0,0,2,15,24,.735,.625,.500,.625,4.3,21.5,12.0,6.0,4.0,0.0,0.0,18.6,155,106
Austin Rivers,20190227,HOU,0,HOU,118,CHO,113,20.93,2,6,0.33299999999999996,2,5,0.4,1,2,0.5,0,2,2,1,0,1,1,3,7,15,.509,.500,.833,.333,0.0,12.1,5.4,6.1,0.0,4.6,12.7,16.2,91,114
Kenneth Faried,20190227,HOU,0,HOU,118,CHO,113,8.27,0,0,,0,0,,2,2,1.0,1,1,2,0,0,0,1,4,2,4,1.136,,,,12.4,15.3,13.7,0.0,0.0,0.0,53.2,9.8,130,116
Iman Shumpert,20190227,HOU,0,HOU,118,CHO,113,5.75,1,3,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,1,1,0,0,0,0,0,3,-1,.500,.500,1.000,.000,0.0,22.0,9.8,0.0,0.0,0.0,0.0,22.4,96,116
Terrence Jones,20190227,HOU,0,HOU,118,CHO,113,1.3,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,0,120
Vince Edwards,20190227,HOU,0,HOU,118,CHO,113,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nene Hilario,20190227,HOU,0,HOU,118,CHO,113,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Clark,20190227,HOU,0,HOU,118,CHO,113,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
