Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Thaddeus Young,20190305,IND,1,IND,105,CHI,96,36.95,5,13,0.385,1,3,0.33299999999999996,0,0,,4,6,10,6,0,0,2,3,11,4,.423,.423,.231,.000,11.5,14.4,13.1,24.7,0.0,0.0,13.3,18.3,105,107
Myles Turner,20190305,IND,1,IND,105,CHI,96,36.08,3,11,0.273,1,1,1.0,3,4,0.75,1,10,11,2,0,7,2,3,10,8,.392,.318,.091,.364,3.0,24.6,14.8,7.8,0.0,13.7,13.6,18.4,83,93
Bojan Bogdanovic,20190305,IND,1,IND,105,CHI,96,34.95,9,14,0.643,4,5,0.8,5,6,0.833,0,6,6,1,2,0,1,3,27,5,.811,.786,.357,.429,0.0,15.3,8.3,5.4,2.9,0.0,5.7,22.7,154,100
Wesley Matthews,20190305,IND,1,IND,105,CHI,96,33.55,4,10,0.4,2,8,0.25,0,0,,0,3,3,4,1,0,2,2,10,8,.500,.500,.800,.000,0.0,7.9,4.3,17.7,1.5,0.0,16.7,16.1,98,106
Darren Collison,20190305,IND,1,IND,105,CHI,96,33.35,7,10,0.7,3,5,0.6,5,6,0.833,0,4,4,2,2,0,3,1,22,12,.870,.850,.500,.600,0.0,10.7,5.8,10.3,3.1,0.0,19.2,21.1,138,102
Cory Joseph,20190305,IND,1,IND,105,CHI,96,21.85,3,8,0.375,0,0,,0,0,,1,1,2,1,0,1,0,2,6,2,.375,.375,.000,.000,4.9,4.1,4.4,7.0,0.0,3.2,0.0,16.5,93,109
Tyreke Evans,20190305,IND,1,IND,105,CHI,96,13.82,3,9,0.33299999999999996,0,2,0.0,2,4,0.5,1,1,2,1,0,0,0,1,8,2,.372,.333,.222,.444,7.7,6.4,7.0,12.6,0.0,0.0,0.0,35.1,91,110
Doug McDermott,20190305,IND,1,IND,105,CHI,96,12.63,1,2,0.5,0,0,,2,2,1.0,1,1,2,1,1,0,1,3,4,0,.694,.500,.000,1.000,8.4,7.0,7.7,11.1,4.0,0.0,25.8,13.8,123,101
Kyle O'Quinn,20190305,IND,1,IND,105,CHI,96,10.93,1,3,0.33299999999999996,0,0,,1,2,0.5,1,4,5,1,0,1,1,3,3,-1,.387,.333,.000,.667,9.8,32.5,22.2,13.1,0.0,6.5,20.5,20.1,84,94
T.J. Leaf,20190305,IND,1,IND,105,CHI,96,5.85,2,4,0.5,0,1,0.0,0,0,,2,3,5,0,0,0,0,1,4,5,.500,.500,.250,.000,36.5,45.6,41.4,0.0,0.0,0.0,0.0,30.8,121,92
Aaron Holiday,20190305,IND,1,IND,105,CHI,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
