Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Devin Booker,20190323,PHO,0,SAC,112,PHO,103,39.03,10,27,0.37,2,11,0.182,10,10,1.0,0,2,2,10,2,0,3,0,32,-5,.510,.407,.407,.370,0.0,5.3,2.6,51.9,2.5,0.0,8.7,37.3,108,117
Dragan Bender,20190323,PHO,0,SAC,112,PHO,103,35.68,2,6,0.33299999999999996,0,3,0.0,0,0,,0,4,4,2,2,0,0,4,4,-1,.333,.333,.500,.000,0.0,11.7,5.7,8.1,2.7,0.0,0.0,7.1,83,113
Mikal Bridges,20190323,PHO,0,SAC,112,PHO,103,34.1,5,9,0.556,1,3,0.33299999999999996,0,0,,1,3,4,4,3,0,1,2,11,-6,.611,.611,.333,.000,2.9,9.2,6.0,19.4,4.2,0.0,10.0,12.4,120,111
Deandre Ayton,20190323,PHO,0,SAC,112,PHO,103,29.4,9,16,0.563,0,0,,1,4,0.25,6,5,11,0,1,1,3,3,19,-4,.535,.563,.000,.250,20.4,17.7,19.1,0.0,1.6,3.0,14.5,29.9,97,112
De'Anthony Melton,20190323,PHO,0,SAC,112,PHO,103,21.57,1,2,0.5,1,2,0.5,0,0,,0,3,3,3,1,2,2,4,3,5,.750,.750,1.000,.000,0.0,14.5,7.1,19.8,2.2,8.2,50.0,7.8,87,108
Troy Daniels,20190323,PHO,0,SAC,112,PHO,103,24.53,5,11,0.455,4,10,0.4,2,2,1.0,0,3,3,1,0,1,0,1,16,-7,.673,.636,.909,.182,0.0,12.8,6.2,7.5,0.0,3.6,0.0,20.5,132,117
Richaun Holmes,20190323,PHO,0,SAC,112,PHO,103,19.58,3,9,0.33299999999999996,0,0,,8,8,1.0,2,3,5,2,0,0,2,1,14,-5,.559,.333,.000,.889,10.2,16.0,13.0,17.1,0.0,0.0,13.8,31.4,112,118
Elie Okobo,20190323,PHO,0,SAC,112,PHO,103,19.53,1,5,0.2,1,4,0.25,0,0,,0,4,4,2,0,0,1,1,3,-7,.300,.300,.800,.000,0.0,21.4,10.5,14.7,0.0,0.0,16.7,13.0,65,116
Ray Spalding,20190323,PHO,0,SAC,112,PHO,103,12.22,0,2,0.0,0,0,,1,2,0.5,1,4,5,1,1,0,1,4,1,-8,.174,.000,.000,1.000,8.2,34.2,20.9,10.9,3.9,0.0,25.8,13.4,55,101
Jimmer Fredette,20190323,PHO,0,SAC,112,PHO,103,4.35,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,1,1,0,-7,.000,.000,1.000,.000,0.0,48.0,23.5,0.0,0.0,0.0,50.0,19.5,0,106
