Date,Cashline,Fee,Entries
20180301,255.75,50,136
20180302,284.75,100,77
20180303,286.25,5,3448
20180304,248.5,25,919
20180305,254.75,5,1149
20180306,253.75,25,689
20180307,241,5,3448
20180308,226.25,100,919
20180309,258.25,5,2298
20180310,222.5,5,2298
20180311,249.75,100,77
20180312,212.5,100,144
20180313,246.75,25,2873
20180314,283,5,1724
20180315,256.75,10,689
20180316,251,10,689
20180317,312.75,5,1609
20180318,265.5,5,1149
20180319,286.75,25,344
20180320,271.25,10,689
20180321,267,100,177
20180322,229,100,111
20180323,243.25,100,111
20180324,266.25,25,321
20180325,245.75,100,77
20180326,289,10,804
20180327,251.5,5,2298
20180328,298.25,5,2298
20180329,267,5,1149
20180330,255,25,367
