Date,Type,Fee,Cashline
20190301,Double Up,50,335.5
20190302,Double Up,25,264
20190303,Double Up,25,282.25
20190304,Double Up,25,276.5
20190305,Double Up,25,280.25
20190306,Double Up,25,286.5
20190307,Double Up,25,298
20190308,Double Up,25,291.25
20190309,Double Up,25,282.25
20190310,Double Up,25,301.25
20190311,Double Up,10,260
20190312,Double Up,25,263.25
20190313,Double Up,25,230.75
20190314,Double Up,25,290.75
20190315,Double Up,25,300
20190316,Double Up,25,306.5
20190317,Double Up,25,274.5
20190318,Double Up,25,311.5
20190319,Double Up,25,311.75
20190320,Double Up,25,NA
20190321,Double Up,25,284
20190322,Double Up,25,335
20190323,Double Up,25,276
20190324,Double Up,25,244.75
20190325,Double Up,25,314.5
20190326,Double Up,25,265.5
20190327,Double Up,25,295.25
20190328,Double Up,25,308.5
20190329,Double Up,25,247.5
20190330,Double Up,25,293.25
20190331,Double Up,25,240.5
