Date,Team,Pos,Name,Starter,Salary
20181016,PHI,PG/SF,Ben Simmons,1,8400
20181016,GSW,PG/SG,Stephen Curry,1,8600
20181016,OKC,PG/SG,Dennis Schroder,1,6300
20181016,BOS,PG/SG,Terry Rozier,0,4500
20181016,BOS,PG,Kyrie Irving,1,7600
20181016,GSW,SG,Klay Thompson,1,5900
20181016,BOS,PG/SG,Marcus Smart,0,4400
20181016,GSW,PG,Shaun Livingston,0,3500
20181016,PHI,PG/SG,Markelle Fultz,1,5000
20181016,OKC,PG/SG,Raymond Felton,0,3700
20181016,PHI,PG/SG,T.J. McConnell,0,3200
20181016,GSW,PG,Quinn Cook,0,3200
20181016,BOS,PG,Brad Wanamaker,0,3000
20181016,PHI,PG/SG,Landry Shamet,0,3000
20181016,PHI,SG,Furkan Korkmaz,0,3000
20181016,PHI,PG,Demetrius Jackson,0,3000
20181016,PHI,PG/SG,Shake Milton,0,3000
20181016,BOS,PG/SF,Walter Lemon Jr.,0,3100
20181016,BOS,PG/SG,PJ Dozier,0,3000
20181016,BOS,SG,Jabari Bird,0,3000
20181016,OKC,PG,Russell Westbrook,0,10200
20181016,PHI,PG/SG,Jerryd Bayless,0,3000
20181016,GSW,SF/PF,Kevin Durant,1,9000
20181016,OKC,SF/PF,Paul George,1,8000
20181016,BOS,SF/PF,Jayson Tatum,1,5600
20181016,BOS,SF/PF,Marcus Morris,0,4200
20181016,BOS,SG/SF,Gordon Hayward,1,6500
20181016,PHI,SF/PF,Robert Covington,1,4700
20181016,PHI,SG/SF,J.J. Redick,0,4900
20181016,BOS,SG/SF,Jaylen Brown,1,5300
20181016,OKC,SF/PF,Jerami Grant,0,4300
20181016,PHI,SF/PF,Dario Saric,1,5500
20181016,OKC,SG/SF,Alex Abrines,0,3200
20181016,OKC,SG/SF,Hamidou Diallo,0,3100
20181016,GSW,SG/SF,Andre Iguodala,0,4000
20181016,OKC,SG/SF,Terrance Ferguson,1,3300
20181016,GSW,SF/PF,Jonas Jerebko,0,3400
20181016,BOS,SF/PF,Semi Ojeleye,0,3000
20181016,GSW,SF/PF,Alfonzo McKinnie,0,3000
20181016,GSW,SG/SF,Jacob Evans III,0,3000
20181016,OKC,SG/SF,Timothe Luwawu,0,3300
20181016,OKC,SF,Deonte Burton,0,3000
20181016,OKC,PF,Abdel Nader,0,3000
20181016,PHI,SF/PF,Wilson Chandler,0,4000
20181016,OKC,SG/SF,Andre Roberson,0,3800
20181016,GSW,SG/SF,Damion Lee,0,3000
20181016,GSW,PF,Marcus Derrickson,0,3000
20181016,PHI,C,Joel Embiid,1,8800
20181016,OKC,C,Steven Adams,1,5800
20181016,GSW,PF/C,Kevon Looney,0,3600
20181016,GSW,PF/C,Draymond Green,1,7300
20181016,BOS,PF/C,Al Horford,1,6100
20181016,GSW,C,Damian Jones,1,3000
20181016,BOS,C,Aron Baynes,0,3900
20181016,OKC,C,Nerlens Noel,0,3600
20181016,OKC,PF/C,Patrick Patterson,1,3800
20181016,PHI,PF/C,Amir Johnson,0,3100
20181016,GSW,PF/C,Jordan Bell,0,4100
20181016,BOS,PF/C,Daniel Theis,0,3500
20181016,PHI,PF/C,Jonah Bolden,0,3000
20181016,BOS,PF/C,Guerschon Yabusele,0,3000
20181016,OKC,PF/C,Tyler Davis,0,3000
20181016,GSW,PF/C,DeMarcus Cousins,0,5900
20181016,PHI,PF/C,Mike Muscala,0,3400
20181016,BOS,PF/C,Robert Williams,0,3400
