Name,Pos,Date,Salary,Starter,Team,FPTS,Value,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,DD,TD,USG_perc,DRtg,ORtg,AST_perc,DRB_perc,ORB_perc,BLK_perc,TOV_perc,STL_perc,eFG_perc
Terry Rozier,PG/SG,20181016,4500.0,0,BOS,24.5,5.444444444444445,1,BOS,105,PHI,87,26.52,5,10,0.5,1,2,0.5,0,0,0.0,0,8,8,1,0,1,1,0,11,0,0,17.0,84.0,102.0,5.5,29.6,0.0,3.0,9.1,0.0,0.55
Kyrie Irving,PG,20181016,7600.0,1,BOS,21.5,2.8289473684210527,1,BOS,105,PHI,87,29.0,2,14,0.14300000000000002,1,8,0.125,2,2,1.0,0,4,4,7,0,0,3,1,7,0,0,25.3,89.0,63.0,29.9,13.5,0.0,0.0,16.8,0.0,0.179
Marcus Smart,PG/SG,20181016,4400.0,0,BOS,15.25,3.465909090909091,1,BOS,105,PHI,87,25.02,2,4,0.5,2,4,0.5,1,2,0.5,0,3,3,3,0,0,2,2,7,0,0,11.3,89.0,109.0,15.1,11.7,0.0,0.0,29.1,0.0,0.75
Brad Wanamaker,PG,20181016,3000.0,0,BOS,3.25,1.0833333333333333,1,BOS,105,PHI,87,0.82,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,0,0,50.2,71.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0
Jayson Tatum,SF/PF,20181016,5600.0,1,BOS,40.75,7.276785714285714,1,BOS,105,PHI,87,28.93,9,17,0.529,1,5,0.2,4,5,0.8,2,7,9,3,1,0,1,2,23,0,0,28.6,83.0,125.0,18.4,23.7,6.3,0.0,5.0,1.6,0.5589999999999999
Marcus Morris,SF/PF,20181016,4200.0,0,BOS,34.5,8.214285714285714,1,BOS,105,PHI,87,20.5,7,12,0.583,2,7,0.28600000000000003,0,0,0.0,2,8,10,0,2,0,1,5,16,1,0,26.0,74.0,122.0,0.0,38.2,8.8,0.0,7.7,4.5,0.667
Gordon Hayward,SG/SF,20181016,6500.0,1,BOS,24.75,3.8076923076923075,1,BOS,105,PHI,87,24.62,4,12,0.333,1,3,0.333,1,2,0.5,2,3,5,0,4,0,0,1,10,0,0,21.4,74.0,90.0,0.0,11.9,7.4,0.0,0.0,7.5,0.375
Jaylen Brown,SG/SF,20181016,5300.0,1,BOS,20.75,3.915094339622642,1,BOS,105,PHI,87,28.38,5,13,0.385,1,3,0.333,1,2,0.5,3,2,5,2,0,0,2,4,12,0,0,22.9,89.0,91.0,10.1,6.9,9.6,0.0,12.6,0.0,0.423
Semi Ojeleye,SF/PF,20181016,3000.0,0,BOS,1.25,0.4166666666666667,1,BOS,105,PHI,87,1.45,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,PF/C,20181016,6100.0,1,BOS,23.5,3.8524590163934427,1,BOS,105,PHI,87,29.95,4,7,0.5710000000000001,0,1,0.0,1,1,1.0,0,4,4,2,0,4,3,1,9,0,0,14.3,80.0,90.0,9.0,13.1,0.0,10.5,28.7,0.0,0.5710000000000001
