Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Marc Gasol,20131030,MEM,0,SAS,101,MEM,94,34.02,7,15,0.467,0,0,,0,0,,1,8,9,2,1,0,2,1,14,-18,.467,.467,.000,.000,3.0,30.5,15.1,9.7,1.5,0.0,11.8,21.1,88,105
Tony Allen,20131030,MEM,0,SAS,101,MEM,94,28.13,6,8,0.75,3,3,1.0,0,3,0.0,1,2,3,2,2,1,3,0,15,-11,.805,.938,.375,.375,3.6,9.2,6.1,11.9,3.5,3.0,24.4,18.5,108,99
Mike Conley,20131030,MEM,0,SAS,101,MEM,94,27.17,7,17,0.41200000000000003,0,3,0.0,0,0,,0,2,2,8,2,0,3,5,14,-9,.412,.412,.176,.000,0.0,9.6,4.2,53.1,3.7,0.0,15.0,31.1,87,101
Zach Randolph,20131030,MEM,0,SAS,101,MEM,94,25.73,1,6,0.16699999999999998,0,0,,0,0,,2,5,7,1,0,1,1,1,2,-21,.167,.167,.000,.000,7.9,25.2,15.5,5.0,0.0,3.3,14.3,11.5,53,105
Tayshaun Prince,20131030,MEM,0,SAS,101,MEM,94,19.8,4,11,0.364,1,2,0.5,0,0,,0,2,2,1,0,0,0,1,9,-7,.409,.409,.182,.000,0.0,13.1,5.8,8.3,0.0,0.0,0.0,23.5,89,110
Mike Miller,20131030,MEM,0,SAS,101,MEM,94,24.78,3,6,0.5,2,3,0.667,3,3,1.0,0,4,4,3,0,0,1,2,11,-6,.751,.667,.500,.500,0.0,20.9,9.2,17.5,0.0,0.0,12.0,14.2,140,109
Jerryd Bayless,20131030,MEM,0,SAS,101,MEM,94,22.0,2,9,0.222,0,0,,1,2,0.5,2,2,4,3,0,0,1,2,5,4,.253,.222,.000,.222,9.3,11.8,10.4,18.9,0.0,0.0,9.2,20.9,71,110
Quincy Pondexter,20131030,MEM,0,SAS,101,MEM,94,21.9,4,9,0.444,2,4,0.5,3,3,1.0,2,0,2,3,1,1,1,0,13,9,.630,.556,.444,.333,9.3,0.0,5.2,21.7,2.3,3.9,8.8,21.8,129,102
Kosta Koufos,20131030,MEM,0,SAS,101,MEM,94,13.98,3,4,0.75,0,0,,1,4,0.25,1,2,3,0,0,0,0,2,7,11,.608,.750,.000,1.000,7.3,18.6,12.3,0.0,0.0,0.0,0.0,17.4,120,109
Jon Leuer,20131030,MEM,0,SAS,101,MEM,94,9.82,1,3,0.33299999999999996,0,0,,0,0,,0,3,3,0,0,0,1,1,2,11,.333,.333,.000,.000,0.0,39.6,17.5,0.0,0.0,0.0,25.0,17.2,50,107
Ed Davis,20131030,MEM,0,SAS,101,MEM,94,7.9,0,2,0.0,0,0,,0,0,,1,2,3,0,0,0,0,0,0,-2,.000,.000,.000,.000,12.9,32.8,21.7,0.0,0.0,0.0,0.0,10.7,32,109
Nick Calathes,20131030,MEM,0,SAS,101,MEM,94,4.77,1,3,0.33299999999999996,0,0,,0,0,,1,1,2,1,0,0,1,0,2,4,.333,.333,.000,.000,21.4,27.2,24.0,34.8,0.0,0.0,25.0,35.5,72,109
Jamaal Franklin,20131030,MEM,0,SAS,101,MEM,94,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
