Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Anthony Davis,20131101,NOP,0,ORL,110,NOP,90,38.33,9,23,0.391,0,0,,8,8,1.0,8,9,17,1,1,3,0,4,26,-10,.490,.391,.000,.348,17.9,35.2,24.2,6.0,1.3,7.8,0.0,28.8,120,111
Jrue Holiday,20131101,NOP,0,ORL,110,NOP,90,34.18,7,19,0.368,1,2,0.5,2,2,1.0,0,0,0,5,3,0,4,4,17,-17,.428,.395,.105,.105,0.0,0.0,0.0,31.7,4.5,0.0,16.8,29.0,84,113
Eric Gordon,20131101,NOP,0,ORL,110,NOP,90,28.32,4,11,0.364,1,2,0.5,3,6,0.5,1,1,2,2,1,0,0,2,12,-12,.440,.409,.182,.545,3.0,5.3,3.9,13.4,1.8,0.0,0.0,20.0,105,119
Jason Smith,20131101,NOP,0,ORL,110,NOP,90,26.22,3,12,0.25,0,0,,0,0,,3,3,6,0,1,1,0,3,6,-14,.250,.250,.000,.000,9.8,17.2,12.5,0.0,1.9,3.8,0.0,19.0,70,114
Al-Farouq Aminu,20131101,NOP,0,ORL,110,NOP,90,17.37,2,4,0.5,0,0,,0,0,,1,2,3,3,0,0,2,1,4,-9,.500,.500,.000,.000,4.9,17.3,9.4,31.3,0.0,0.0,33.3,14.4,86,122
Anthony Morrow,20131101,NOP,0,ORL,110,NOP,90,18.27,4,5,0.8,4,4,1.0,2,2,1.0,1,3,4,0,1,1,0,1,14,-8,1.190,1.200,.800,.400,4.7,24.6,11.9,0.0,2.8,5.5,0.0,13.4,232,110
Tyreke Evans,20131101,NOP,0,ORL,110,NOP,90,17.38,0,7,0.0,0,2,0.0,0,0,,0,1,1,3,0,0,2,3,0,-14,.000,.000,.286,.000,0.0,8.6,3.1,25.9,0.0,0.0,22.2,21.5,17,122
Greg Stiemsma,20131101,NOP,0,ORL,110,NOP,90,16.8,0,2,0.0,0,0,,1,2,0.5,1,5,6,0,0,0,1,2,1,-11,.174,.000,.000,1.000,5.1,44.6,19.5,0.0,0.0,0.0,25.8,9.6,41,119
Brian Roberts,20131101,NOP,0,ORL,110,NOP,90,15.85,2,4,0.5,0,1,0.0,0,0,,0,1,1,1,0,0,2,0,4,-5,.500,.500,.250,.000,0.0,9.5,3.4,11.7,0.0,0.0,33.3,15.7,70,123
Austin Rivers,20131101,NOP,0,ORL,110,NOP,90,12.63,1,4,0.25,0,1,0.0,1,2,0.5,1,1,2,1,0,0,0,1,3,5,.307,.250,.250,.500,6.8,11.9,8.6,13.5,0.0,0.0,0.0,16.1,86,122
Arinze Onuaku,20131101,NOP,0,ORL,110,NOP,90,9.87,0,1,0.0,0,0,,1,2,0.5,1,1,2,0,0,0,0,0,1,-6,.266,.000,.000,2.000,8.7,15.2,11.1,0.0,0.0,0.0,0.0,7.9,84,122
Jeff Withey,20131101,NOP,0,ORL,110,NOP,90,4.78,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,1,1.136,,,,0.0,0.0,0.0,0.0,0.0,0.0,53.2,16.3,106,124
Lance Thomas,20131101,NOP,0,ORL,110,NOP,90,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
