Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Kemba Walker,20131120,CHA,1,CHA,95,BRK,91,35.17,12,20,0.6,4,7,0.5710000000000001,3,4,0.75,2,3,5,2,1,1,2,1,31,10,.712,.700,.350,.200,5.8,13.6,8.9,13.9,1.5,2.8,8.4,29.7,139,103
Gerald Henderson,20131120,CHA,1,CHA,95,BRK,91,30.75,4,12,0.33299999999999996,1,2,0.5,4,5,0.8,2,0,2,5,2,0,1,2,13,-2,.458,.375,.167,.417,6.6,0.0,4.1,26.2,3.5,0.0,6.6,21.7,115,103
Josh McRoberts,20131120,CHA,1,CHA,95,BRK,91,29.02,2,6,0.33299999999999996,0,1,0.0,2,4,0.5,3,4,7,5,1,2,1,0,6,-3,.387,.333,.167,.667,10.6,22.1,15.0,25.3,1.9,6.9,11.4,13.3,108,98
Michael Kidd-Gilchrist,20131120,CHA,1,CHA,95,BRK,91,26.27,4,10,0.4,0,1,0.0,0,2,0.0,1,3,4,1,0,0,5,3,8,-2,.368,.400,.100,.200,3.9,18.3,9.5,6.4,0.0,0.0,31.5,26.6,57,108
Bismack Biyombo,20131120,CHA,1,CHA,95,BRK,91,22.55,4,6,0.667,0,0,,1,3,0.33299999999999996,1,5,6,0,0,0,0,4,9,0,.615,.667,.000,.500,4.5,35.5,16.6,0.0,0.0,0.0,0.0,14.3,131,105
Ramon Sessions,20131120,CHA,1,CHA,95,BRK,91,26.73,5,11,0.455,0,2,0.0,3,5,0.6,0,0,0,1,0,0,3,1,13,-3,.492,.455,.182,.455,0.0,0.0,0.0,6.6,0.0,0.0,18.5,26.6,88,111
Jeff Adrien,20131120,CHA,1,CHA,95,BRK,91,25.43,2,5,0.4,0,0,,3,4,0.75,5,5,10,0,0,1,0,3,7,2,.518,.400,.000,.800,20.1,31.5,24.5,0.0,0.0,3.9,0.0,11.7,138,103
Cody Zeller,20131120,CHA,1,CHA,95,BRK,91,19.0,2,6,0.33299999999999996,0,0,,2,3,0.667,3,1,4,1,2,0,2,4,6,9,.410,.333,.000,.500,16.1,8.4,13.1,8.2,5.7,0.0,21.5,21.6,87,96
Jeffery Taylor,20131120,CHA,1,CHA,95,BRK,91,17.15,0,4,0.0,0,0,,0,0,,0,1,1,2,1,0,1,2,0,4,.000,.000,.000,.000,0.0,9.3,3.6,15.5,3.2,0.0,20.0,12.8,25,102
Anthony Tolliver,20131120,CHA,1,CHA,95,BRK,91,7.93,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,0,0,2,5,1.000,1.000,.000,.000,0.0,40.3,15.7,0.0,0.0,0.0,0.0,5.5,200,105
Jannero Pargo,20131120,CHA,1,CHA,95,BRK,91,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Gordon,20131120,CHA,1,CHA,95,BRK,91,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Southerland,20131120,CHA,1,CHA,95,BRK,91,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
