Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Mike Dunleavy,20140221,CHI,1,CHI,117,DEN,89,35.65,3,7,0.429,1,3,0.33299999999999996,3,4,0.75,0,5,5,6,0,3,0,2,10,24,.571,.500,.429,.571,0.0,13.2,7.5,21.3,0.0,5.6,0.0,10.9,144,95
Joakim Noah,20140221,CHI,1,CHI,117,DEN,89,28.25,4,6,0.667,0,0,,6,6,1.0,3,8,11,5,1,3,2,1,14,33,.810,.667,.000,1.000,13.1,26.7,20.8,24.1,1.8,7.1,18.8,16.8,153,85
Kirk Hinrich,20140221,CHI,1,CHI,117,DEN,89,24.38,5,8,0.625,0,0,,0,0,,1,5,6,3,1,0,4,3,10,12,.625,.625,.000,.000,5.0,19.3,13.1,18.4,2.1,0.0,33.3,21.9,90,92
Carlos Boozer,20140221,CHI,1,CHI,117,DEN,89,24.0,4,14,0.28600000000000003,0,1,0.0,2,2,1.0,0,5,5,1,2,0,0,3,10,15,.336,.286,.071,.143,0.0,19.6,11.1,5.9,4.2,0.0,0.0,27.6,81,88
Jimmy Butler,20140221,CHI,1,CHI,117,DEN,89,11.12,3,4,0.75,1,2,0.5,1,1,1.0,1,1,2,2,0,0,0,0,8,17,.901,.875,.500,.250,11.1,8.5,9.6,29.7,0.0,0.0,0.0,17.8,191,101
Tony Snell,20140221,CHI,1,CHI,117,DEN,89,36.88,7,14,0.5,3,4,0.75,3,3,1.0,0,1,1,0,2,0,2,5,20,11,.653,.607,.286,.214,0.0,2.6,1.4,0.0,2.7,0.0,11.5,20.9,114,96
D.J. Augustin,20140221,CHI,1,CHI,117,DEN,89,30.67,5,10,0.5,5,7,0.7140000000000001,7,7,1.0,0,5,5,8,2,0,3,0,22,30,.841,.750,.700,.700,0.0,15.3,8.7,36.6,3.3,0.0,18.7,23.3,148,92
Taj Gibson,20140221,CHI,1,CHI,117,DEN,89,26.67,7,14,0.5,0,0,,1,2,0.5,4,6,10,2,0,1,0,2,15,19,.504,.500,.000,.143,18.5,21.2,20.0,12.2,0.0,2.5,0.0,24.8,123,94
Nazr Mohammed,20140221,CHI,1,CHI,117,DEN,89,13.4,3,6,0.5,0,0,,0,2,0.0,1,1,2,1,0,0,1,4,6,-8,.436,.500,.000,.333,9.2,7.0,8.0,11.5,0.0,0.0,12.7,26.2,87,99
Erik Murphy,20140221,CHI,1,CHI,117,DEN,89,3.68,0,0,,0,0,,0,0,,1,2,3,0,0,0,0,0,0,-3,,,,,33.4,51.1,43.4,0.0,0.0,0.0,,0.0,223,86
Tornike Shengelia,20140221,CHI,1,CHI,117,DEN,89,3.25,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-5,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,200,102
Jarvis Varnado,20140221,CHI,1,CHI,117,DEN,89,2.05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,100
