Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Stephen Curry,20141208,GSW,0,GSW,102,MIN,86,31.33,10,20,0.5,1,7,0.14300000000000002,0,0,,1,3,4,7,3,1,3,3,21,22,.525,.525,.350,.000,3.3,8.5,6.1,40.2,4.7,2.0,13.0,30.9,107,87
Draymond Green,20141208,GSW,0,GSW,102,MIN,86,30.38,3,10,0.3,0,3,0.0,4,4,1.0,2,8,10,3,3,1,3,1,10,22,.425,.300,.300,.400,6.9,23.4,15.8,12.7,4.9,2.1,20.3,20.4,89,79
Klay Thompson,20141208,GSW,0,GSW,102,MIN,86,29.9,7,15,0.467,3,6,0.5,4,4,1.0,0,1,1,3,0,0,1,2,21,8,.626,.567,.400,.267,0.0,3.0,1.6,15.7,0.0,0.0,5.6,25.0,132,100
Harrison Barnes,20141208,GSW,0,GSW,102,MIN,86,29.4,2,5,0.4,0,1,0.0,0,0,,1,5,6,1,1,0,0,2,4,6,.400,.400,.200,.000,3.5,15.1,9.8,4.2,1.7,0.0,0.0,7.2,105,91
Andrew Bogut,20141208,GSW,0,GSW,102,MIN,86,2.47,0,2,0.0,0,0,,0,0,,0,4,4,0,0,2,1,0,0,4,.000,.000,.000,.000,0.0,100.0,77.8,0.0,0.0,50.5,33.3,51.1,0,0
Shaun Livingston,20141208,GSW,0,GSW,102,MIN,86,25.5,5,8,0.625,0,0,,2,2,1.0,2,3,5,6,4,0,4,3,12,6,.676,.625,.000,.250,8.2,10.5,9.4,34.7,7.7,0.0,31.1,21.2,110,81
Andre Iguodala,20141208,GSW,0,GSW,102,MIN,86,23.95,4,10,0.4,0,3,0.0,0,0,,2,2,4,3,2,0,0,0,8,10,.400,.400,.300,.000,8.7,7.4,8.0,17.7,4.1,0.0,0.0,17.6,109,90
Festus Ezeli,20141208,GSW,0,GSW,102,MIN,86,21.48,3,4,0.75,0,0,,1,2,0.5,3,5,8,0,0,1,2,3,7,3,.717,.750,.000,.500,14.6,20.7,17.9,0.0,0.0,2.9,29.1,13.5,107,89
Marreese Speights,20141208,GSW,0,GSW,102,MIN,86,20.72,5,8,0.625,0,0,,2,2,1.0,3,4,7,0,1,1,2,4,12,15,.676,.625,.000,.250,15.1,17.2,16.2,0.0,2.4,3.0,18.4,22.1,117,86
Leandro Barbosa,20141208,GSW,0,GSW,102,MIN,86,8.63,2,5,0.4,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,4,-6,.400,.400,.200,.000,0.0,0.0,0.0,18.0,0.0,0.0,0.0,24.4,98,102
Justin Holiday,20141208,GSW,0,GSW,102,MIN,86,6.48,1,2,0.5,1,1,1.0,0,0,,0,0,0,0,0,0,1,0,3,-1,.750,.750,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,19.5,88,102
Brandon Rush,20141208,GSW,0,GSW,102,MIN,86,6.42,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-3,.000,.000,.000,.000,0.0,0.0,0.0,0.0,7.7,0.0,0.0,6.6,0,87
Ognjen Kuzmic,20141208,GSW,0,GSW,102,MIN,86,3.33,0,1,0.0,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-6,.000,.000,.000,.000,31.3,26.7,28.8,0.0,0.0,0.0,0.0,12.6,60,89
