Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
James Harden,20150114,HOU,0,ORL,120,HOU,113,37.97,10,16,0.625,1,5,0.2,5,6,0.833,2,2,4,10,5,1,7,4,26,-12,.697,.656,.313,.375,6.5,6.7,6.6,43.1,6.2,2.0,27.3,28.7,115,111
Dwight Howard,20150114,HOU,0,ORL,120,HOU,113,36.07,8,15,0.5329999999999999,0,0,,7,7,1.0,2,6,8,3,0,1,2,2,23,-11,.636,.533,.000,.467,6.8,21.0,13.8,12.7,0.0,2.1,10.0,23.6,128,122
Donatas Motiejunas,20150114,HOU,0,ORL,120,HOU,113,35.37,5,9,0.556,0,1,0.0,2,2,1.0,1,4,5,4,1,0,3,2,12,-13,.607,.556,.111,.222,3.5,14.3,8.8,15.4,1.3,0.0,23.3,15.5,107,122
Patrick Beverley,20150114,HOU,0,ORL,120,HOU,113,34.27,7,11,0.636,3,5,0.6,0,0,,0,2,2,0,1,2,4,4,17,-10,.773,.773,.455,.000,0.0,7.4,3.6,0.0,1.4,4.4,26.7,18.6,98,120
Trevor Ariza,20150114,HOU,0,ORL,120,HOU,113,33.97,6,7,0.857,3,4,0.75,0,0,,0,5,5,1,1,1,0,1,15,-12,1.071,1.071,.571,.000,0.0,18.6,9.2,4.2,1.4,2.2,0.0,8.7,208,119
Corey Brewer,20150114,HOU,0,ORL,120,HOU,113,24.57,3,9,0.33299999999999996,1,5,0.2,2,2,1.0,1,2,3,2,3,0,0,3,9,10,.455,.389,.556,.222,5.0,10.3,7.6,10.8,5.8,0.0,0.0,17.1,113,113
Josh Smith,20150114,HOU,0,ORL,120,HOU,113,24.07,2,11,0.182,0,4,0.0,1,2,0.5,4,6,10,5,0,1,4,2,5,10,.210,.182,.364,.182,20.5,31.5,25.9,26.2,0.0,3.1,25.2,28.0,67,119
Alexey Shved,20150114,HOU,0,ORL,120,HOU,113,13.73,1,5,0.2,1,2,0.5,3,4,0.75,0,1,1,1,0,0,0,1,6,3,.444,.300,.400,.800,0.0,9.2,4.5,9.1,0.0,0.0,0.0,20.9,108,126
Terrence Jones,20150114,HOU,0,ORL,120,HOU,113,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey Dorsey,20150114,HOU,0,ORL,120,HOU,113,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostas Papanikolaou,20150114,HOU,0,ORL,120,HOU,113,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Terry,20150114,HOU,0,ORL,120,HOU,113,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
