Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
LeBron James,20150116,CLE,0,CLE,126,LAC,121,42.48,11,23,0.478,3,8,0.375,7,12,0.583,0,11,11,7,3,0,9,4,32,8,.566,.543,.348,.522,0.0,25.4,14.3,23.6,3.3,0.0,24.1,36.4,97,112
Kyrie Irving,20150116,CLE,0,CLE,126,LAC,121,41.08,12,18,0.667,5,7,0.7140000000000001,8,9,0.889,1,3,4,5,3,1,4,4,37,5,.842,.806,.389,.500,3.1,7.2,5.4,18.3,3.5,1.9,15.4,26.2,149,118
Tristan Thompson,20150116,CLE,0,CLE,126,LAC,121,39.6,10,12,0.833,0,0,,4,4,1.0,3,9,12,0,0,2,1,2,24,-6,.872,.833,.000,.333,9.6,22.3,16.7,0.0,0.0,3.9,6.8,15.5,169,118
J.R. Smith,20150116,CLE,0,CLE,126,LAC,121,29.87,4,8,0.5,0,2,0.0,0,0,,0,2,2,4,3,0,0,3,8,-1,.500,.500,.250,.000,0.0,6.6,3.7,16.2,4.8,0.0,0.0,11.1,129,116
Timofey Mozgov,20150116,CLE,0,CLE,126,LAC,121,25.6,5,6,0.833,0,0,,2,2,1.0,1,2,3,0,0,0,1,4,12,9,.872,.833,.000,.333,4.9,7.7,6.5,0.0,0.0,0.0,12.7,12.8,154,126
Shawn Marion,20150116,CLE,0,CLE,126,LAC,121,26.95,1,7,0.14300000000000002,0,1,0.0,0,0,,5,3,8,1,0,0,1,4,2,1,.143,.143,.143,.000,23.4,10.9,16.4,4.0,0.0,0.0,12.5,12.3,79,124
Matthew Dellavedova,20150116,CLE,0,CLE,126,LAC,121,23.15,2,5,0.4,1,2,0.5,3,4,0.75,2,0,2,5,0,0,2,5,8,6,.592,.500,.400,.800,10.9,0.0,4.8,24.8,0.0,0.0,22.8,15.7,126,128
Mike Miller,20150116,CLE,0,CLE,126,LAC,121,11.27,1,4,0.25,1,3,0.33299999999999996,0,0,,0,2,2,1,0,0,1,4,3,3,.375,.375,.750,.000,0.0,17.4,9.8,10.2,0.0,0.0,20.0,18.4,77,121
Brendan Haywood,20150116,CLE,0,CLE,126,LAC,121,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Love,20150116,CLE,0,CLE,126,LAC,121,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Harris,20150116,CLE,0,CLE,126,LAC,121,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Jones,20150116,CLE,0,CLE,126,LAC,121,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
