Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Enes Kanter,20150121,UTA,0,CLE,106,UTA,92,33.13,9,20,0.45,0,0,,6,8,0.75,7,10,17,1,1,0,1,2,24,-3,.510,.450,.000,.400,22.0,35.3,28.3,6.6,1.6,0.0,4.1,32.6,118,112
Gordon Hayward,20150121,UTA,0,CLE,106,UTA,92,28.52,4,11,0.364,2,4,0.5,4,4,1.0,3,2,5,4,2,0,5,0,14,-22,.549,.455,.364,.364,11.0,8.2,9.7,23.8,3.8,0.0,28.2,27.4,96,117
Joe Ingles,20150121,UTA,0,CLE,106,UTA,92,26.53,1,4,0.25,1,3,0.33299999999999996,0,0,,0,2,2,2,0,0,0,3,3,-17,.375,.375,.750,.000,0.0,8.8,4.2,10.9,0.0,0.0,0.0,6.6,108,124
Derrick Favors,20150121,UTA,0,CLE,106,UTA,92,24.73,6,11,0.545,0,0,,0,0,,1,0,1,1,2,0,0,2,12,-23,.545,.545,.000,.000,4.2,0.0,2.2,8.3,4.3,0.0,0.0,19.6,121,118
Trey Burke,20150121,UTA,0,CLE,106,UTA,92,19.45,1,10,0.1,0,2,0.0,0,0,,0,2,2,2,2,0,1,2,2,-17,.100,.100,.200,.000,0.0,12.0,5.7,15.2,5.5,0.0,9.1,24.9,35,111
Dante Exum,20150121,UTA,0,CLE,106,UTA,92,28.87,2,5,0.4,0,3,0.0,0,0,,0,0,0,5,0,0,4,1,4,-5,.400,.400,.600,.000,0.0,0.0,0.0,26.2,0.0,0.0,44.4,13.7,66,127
Elijah Millsap,20150121,UTA,0,CLE,106,UTA,92,20.53,4,9,0.444,2,5,0.4,2,2,1.0,2,1,3,1,1,0,3,5,12,5,.607,.556,.556,.222,10.2,5.7,8.1,9.1,2.6,0.0,23.3,27.6,100,119
Rudy Gobert,20150121,UTA,0,CLE,106,UTA,92,19.78,3,3,1.0,0,0,,0,0,,3,4,7,3,0,1,1,4,6,-7,1.000,1.000,.000,.000,15.8,23.7,19.5,26.3,0.0,4.3,25.0,8.9,158,116
Trevor Booker,20150121,UTA,0,CLE,106,UTA,92,16.88,2,6,0.33299999999999996,0,1,0.0,1,2,0.5,0,4,4,1,1,0,2,1,5,3,.363,.333,.167,.333,0.0,27.7,13.1,9.7,3.2,0.0,22.5,23.2,65,111
Elliot Williams,20150121,UTA,0,CLE,106,UTA,92,12.63,3,4,0.75,3,3,1.0,1,2,0.5,0,1,1,3,0,0,0,1,10,12,1.025,1.125,.750,.500,0.0,9.3,4.4,48.3,0.0,0.0,0.0,17.0,203,124
Ian Clark,20150121,UTA,0,CLE,106,UTA,92,7.47,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,1,0,2,.000,.000,1.000,.000,0.0,0.0,0.0,18.4,0.0,0.0,0.0,5.9,57,127
Jeremy Evans,20150121,UTA,0,CLE,106,UTA,92,1.47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,128
Steve Novak,20150121,UTA,0,CLE,106,UTA,92,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
