Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Wayne Ellington,20150225,LAL,0,LAL,100,UTA,97,38.47,5,12,0.41700000000000004,0,1,0.0,5,5,1.0,3,7,10,2,0,0,3,1,15,10,.528,.417,.083,.417,7.8,21.3,14.0,7.4,0.0,0.0,17.4,20.0,103,110
Jordan Clarkson,20150225,LAL,0,LAL,100,UTA,97,34.1,10,16,0.625,1,3,0.33299999999999996,1,1,1.0,2,2,4,3,2,0,2,4,22,0,.669,.656,.188,.063,5.9,6.9,6.3,16.3,3.1,0.0,10.8,24.2,128,107
Carlos Boozer,20150225,LAL,0,LAL,100,UTA,97,21.62,5,13,0.385,0,0,,4,7,0.5710000000000001,0,6,6,1,3,0,2,2,14,3,.435,.385,.000,.538,0.0,32.5,15.0,7.7,7.2,0.0,11.1,37.4,86,90
Robert Sacre,20150225,LAL,0,LAL,100,UTA,97,21.45,1,2,0.5,0,0,,4,4,1.0,0,0,0,1,1,0,0,1,6,7,.798,.500,.000,2.000,0.0,0.0,0.0,5.9,2.4,0.0,0.0,7.8,180,111
Ryan Kelly,20150225,LAL,0,LAL,100,UTA,97,20.82,0,5,0.0,0,0,,0,0,,0,3,3,1,1,1,2,3,0,-2,.000,.000,.000,.000,0.0,16.9,7.8,5.8,2.5,3.8,28.6,15.1,8,103
Wesley Johnson,20150225,LAL,0,LAL,100,UTA,97,27.18,3,9,0.33299999999999996,1,3,0.33299999999999996,0,0,,1,2,3,2,1,2,0,3,7,5,.389,.389,.333,.000,3.7,8.6,6.0,10.2,1.9,5.8,0.0,14.8,100,106
Jordan Hill,20150225,LAL,0,LAL,100,UTA,97,26.58,7,12,0.583,0,0,,2,2,1.0,1,4,5,1,2,1,0,4,16,-2,.621,.583,.000,.167,3.8,17.6,10.1,6.6,3.9,3.0,0.0,21.7,136,100
Ed Davis,20150225,LAL,0,LAL,100,UTA,97,26.15,6,8,0.75,0,0,,0,0,,6,3,9,3,1,3,0,6,12,-1,.750,.750,.000,.000,22.9,13.4,18.6,19.0,2.0,9.0,0.0,13.7,169,101
Jeremy Lin,20150225,LAL,0,LAL,100,UTA,97,23.63,3,12,0.25,0,4,0.0,2,2,1.0,1,1,2,3,1,1,0,1,8,-5,.311,.250,.333,.167,4.2,5.0,4.6,18.0,2.2,3.3,0.0,24.4,86,108
Nick Young,20150225,LAL,0,LAL,100,UTA,97,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarik Black,20150225,LAL,0,LAL,100,UTA,97,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronnie Price,20150225,LAL,0,LAL,100,UTA,97,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kobe Bryant,20150225,LAL,0,LAL,100,UTA,97,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
