Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Khris Middleton,20151111,MIL,0,DEN,103,MIL,102,42.43,5,13,0.385,3,5,0.6,0,0,,0,1,1,2,4,0,2,2,13,5,.500,.500,.385,.000,0.0,2.9,1.6,6.2,5.2,0.0,13.3,17.1,94,115
Johnny O'Bryant,20151111,MIL,0,DEN,103,MIL,102,34.03,4,7,0.5710000000000001,0,0,,3,3,1.0,4,5,9,3,0,1,0,6,11,19,.661,.571,.000,.429,18.8,18.1,18.4,11.6,0.0,2.6,0.0,11.9,163,119
Greg Monroe,20151111,MIL,0,DEN,103,MIL,102,32.6,9,13,0.6920000000000001,0,0,,0,0,,2,8,10,2,1,0,2,2,18,6,.692,.692,.000,.000,9.8,30.2,21.3,10.2,1.7,0.0,13.3,22.3,125,113
Giannis Antetokounmpo,20151111,MIL,0,DEN,103,MIL,102,29.13,6,12,0.5,0,3,0.0,0,0,,1,6,7,5,0,2,3,5,12,-26,.500,.500,.250,.000,5.5,25.3,16.7,25.7,0.0,6.0,20.0,25.0,99,114
Tyler Ennis,20151111,MIL,0,DEN,103,MIL,102,15.17,3,4,0.75,1,2,0.5,0,0,,0,0,0,0,0,0,2,1,7,-6,.875,.875,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,19.2,95,127
Greivis Vasquez,20151111,MIL,0,DEN,103,MIL,102,32.83,6,14,0.429,3,8,0.375,0,0,,0,2,2,9,1,0,2,1,15,5,.536,.536,.571,.000,0.0,7.5,4.2,39.6,1.7,0.0,12.5,23.6,119,121
Jerryd Bayless,20151111,MIL,0,DEN,103,MIL,102,28.42,7,10,0.7,3,3,1.0,5,6,0.833,1,1,2,4,2,0,3,4,22,3,.870,.850,.300,.600,5.6,4.3,4.9,22.4,3.9,0.0,19.2,26.7,143,117
John Henson,20151111,MIL,0,DEN,103,MIL,102,15.4,2,5,0.4,0,0,,0,0,,0,2,2,1,0,1,1,2,4,-7,.400,.400,.000,.000,0.0,16.0,9.0,8.7,0.0,5.7,16.7,18.9,77,118
Rashad Vaughn,20151111,MIL,0,DEN,103,MIL,102,9.98,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,0,-4,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.7,0,127
Damien Inglis,20151111,MIL,0,DEN,103,MIL,102,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Plumlee,20151111,MIL,0,DEN,103,MIL,102,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Copeland,20151111,MIL,0,DEN,103,MIL,102,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jabari Parker,20151111,MIL,0,DEN,103,MIL,102,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
