Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Danilo Gallinari,20151202,DEN,0,CHI,99,DEN,90,34.98,5,15,0.33299999999999996,1,3,0.33299999999999996,2,4,0.5,1,4,5,4,1,0,0,1,13,-2,.388,.367,.200,.267,2.3,10.8,6.2,18.8,1.4,0.0,0.0,21.0,90,106
Emmanuel Mudiay,20151202,DEN,0,CHI,99,DEN,90,30.28,2,13,0.154,0,2,0.0,0,2,0.0,1,2,3,7,2,1,2,1,4,2,.144,.154,.154,.154,2.6,6.2,4.3,33.8,3.3,2.2,12.6,22.9,49,103
Kenneth Faried,20151202,DEN,0,CHI,99,DEN,90,28.6,7,10,0.7,0,0,,0,2,0.0,5,4,9,3,0,1,4,3,14,-2,.643,.700,.000,.200,14.0,13.2,13.6,20.8,0.0,2.3,26.9,22.8,98,106
Randy Foye,20151202,DEN,0,CHI,99,DEN,90,21.07,1,5,0.2,1,3,0.33299999999999996,2,2,1.0,0,1,1,4,1,2,0,2,5,6,.425,.300,.600,.400,0.0,4.5,2.1,27.0,2.4,6.3,0.0,12.2,110,102
Nikola Jokic,20151202,DEN,0,CHI,99,DEN,90,10.13,3,6,0.5,1,1,1.0,0,0,,0,3,3,0,0,1,0,1,7,-1,.583,.583,.167,.000,0.0,27.9,12.8,0.0,0.0,6.6,0.0,25.9,108,97
Will Barton,20151202,DEN,0,CHI,99,DEN,90,26.93,6,12,0.5,1,3,0.33299999999999996,3,4,0.75,1,7,8,2,0,0,0,2,16,-15,.581,.542,.250,.333,3.0,24.5,12.8,14.1,0.0,0.0,0.0,22.4,122,103
Joffrey Lauvergne,20151202,DEN,0,CHI,99,DEN,90,21.35,3,13,0.231,1,1,1.0,4,4,1.0,1,6,7,2,0,1,0,2,11,-8,.373,.269,.077,.308,3.7,26.4,14.2,15.4,0.0,3.1,0.0,30.3,88,100
Darrell Arthur,20151202,DEN,0,CHI,99,DEN,90,19.4,6,10,0.6,0,0,,1,2,0.5,2,0,2,0,1,1,0,2,13,-7,.597,.600,.000,.200,8.2,0.0,4.5,0.0,2.6,3.4,0.0,24.5,120,106
Jameer Nelson,20151202,DEN,0,CHI,99,DEN,90,17.72,0,2,0.0,0,1,0.0,0,0,,0,2,2,3,0,0,0,3,0,-11,.000,.000,.500,.000,0.0,10.6,4.9,22.6,0.0,0.0,0.0,4.9,59,109
J.J. Hickson,20151202,DEN,0,CHI,99,DEN,90,15.67,2,5,0.4,0,0,,1,2,0.5,2,4,6,1,3,0,1,4,5,0,.425,.400,.000,.400,10.2,24.0,16.6,10.3,9.5,0.0,14.5,19.2,88,83
Mike Miller,20151202,DEN,0,CHI,99,DEN,90,13.87,1,2,0.5,0,1,0.0,0,0,,0,3,3,0,0,1,0,1,2,-7,.500,.500,.500,.000,0.0,20.4,9.4,0.0,0.0,4.8,0.0,6.3,98,102
Gary Harris,20151202,DEN,0,CHI,99,DEN,90,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostas Papanikolaou,20151202,DEN,0,CHI,99,DEN,90,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
