Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Luol Deng,20160115,MIA,0,MIA,98,DEN,95,38.53,5,12,0.41700000000000004,0,1,0.0,2,2,1.0,0,5,5,2,1,0,1,2,12,10,.466,.417,.083,.167,0.0,16.0,7.9,7.4,1.3,0.0,7.2,16.9,95,106
Hassan Whiteside,20160115,MIA,0,MIA,98,DEN,95,38.48,8,13,0.615,0,0,,3,5,0.6,6,11,17,2,1,11,4,2,19,10,.625,.615,.000,.385,18.7,35.2,26.8,8.3,1.3,22.9,20.8,23.4,110,81
Beno Udrih,20160115,MIA,0,MIA,98,DEN,95,37.02,5,10,0.5,1,2,0.5,0,0,,0,3,3,11,1,0,0,2,11,13,.550,.550,.200,.000,0.0,10.0,4.9,42.6,1.4,0.0,0.0,12.7,138,107
Chris Bosh,20160115,MIA,0,MIA,98,DEN,95,31.65,9,13,0.6920000000000001,1,2,0.5,5,6,0.833,0,3,3,3,0,1,3,4,24,-4,.767,.731,.154,.462,0.0,11.7,5.8,17.3,0.0,2.5,16.1,27.6,127,108
Gerald Green,20160115,MIA,0,MIA,98,DEN,95,23.5,1,5,0.2,0,2,0.0,0,1,0.0,0,3,3,2,0,0,1,3,2,2,.184,.200,.400,.200,0.0,15.7,7.8,10.8,0.0,0.0,15.5,12.9,48,109
Tyler Johnson,20160115,MIA,0,MIA,98,DEN,95,30.67,6,15,0.4,0,2,0.0,3,4,0.75,1,3,4,4,1,0,1,1,15,4,.447,.400,.133,.267,3.9,12.0,7.9,20.5,1.7,0.0,5.6,27.2,99,106
Justise Winslow,20160115,MIA,0,MIA,98,DEN,95,23.35,3,5,0.6,2,2,1.0,0,0,,0,4,4,1,1,1,3,3,8,0,.800,.800,.400,.000,0.0,21.1,10.4,6.1,2.2,3.4,37.5,16.1,86,100
Josh Richardson,20160115,MIA,0,MIA,98,DEN,95,10.43,1,4,0.25,0,1,0.0,0,0,,0,1,1,0,0,0,0,2,2,-11,.250,.250,.250,.000,0.0,11.8,5.8,0.0,0.0,0.0,0.0,18.0,54,110
Amar'e Stoudemire,20160115,MIA,0,MIA,98,DEN,95,6.37,2,4,0.5,0,0,,1,1,1.0,2,0,2,1,0,0,0,1,5,-9,.563,.500,.000,.250,37.7,0.0,19.1,30.3,0.0,0.0,0.0,32.7,136,112
Jarnell Stokes,20160115,MIA,0,MIA,98,DEN,95,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Andersen,20160115,MIA,0,MIA,98,DEN,95,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwyane Wade,20160115,MIA,0,MIA,98,DEN,95,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udonis Haslem,20160115,MIA,0,MIA,98,DEN,95,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
