Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Andre Drummond,20160210,DET,1,DEN,103,DET,92,39.45,7,22,0.318,0,1,0.0,1,1,1.0,5,12,17,2,3,5,1,3,15,-8,.334,.318,.045,.045,13.2,34.0,23.2,8.3,3.8,9.5,4.3,27.1,80,91
Stanley Johnson,20160210,DET,1,DEN,103,DET,92,36.8,5,16,0.313,0,4,0.0,1,1,1.0,1,4,5,5,0,0,4,5,11,-17,.335,.313,.250,.063,2.8,12.1,7.3,20.7,0.0,0.0,19.6,25.4,68,112
Anthony Tolliver,20160210,DET,1,DEN,103,DET,92,35.27,2,7,0.28600000000000003,2,6,0.33299999999999996,0,0,,1,6,7,1,2,1,1,2,6,-15,.429,.429,.857,.000,3.0,19.0,10.7,3.9,2.8,2.1,12.5,10.4,84,103
Marcus Morris,20160210,DET,1,DEN,103,DET,92,34.8,8,15,0.5329999999999999,1,2,0.5,2,2,1.0,0,2,2,6,0,0,2,2,19,-8,.598,.567,.133,.133,0.0,6.4,3.1,30.7,0.0,0.0,11.2,23.5,115,114
Brandon Jennings,20160210,DET,1,DEN,103,DET,92,29.32,6,12,0.5,4,8,0.5,0,0,,0,3,3,1,0,0,2,2,16,-11,.667,.667,.667,.000,0.0,11.4,5.5,5.8,0.0,0.0,14.3,21.8,106,113
Darrun Hilliard,20160210,DET,1,DEN,103,DET,92,26.62,3,6,0.5,1,2,0.5,2,3,0.667,0,1,1,6,0,0,2,1,9,1,.615,.583,.333,.500,0.0,4.2,2.0,33.2,0.0,0.0,21.5,16.0,114,114
Aron Baynes,20160210,DET,1,DEN,103,DET,92,19.07,5,7,0.7140000000000001,0,1,0.0,0,0,,0,7,7,0,0,2,1,1,10,3,.714,.714,.143,.000,0.0,41.0,19.8,0.0,0.0,7.9,12.5,19.2,113,100
Steve Blake,20160210,DET,1,DEN,103,DET,92,18.68,2,3,0.667,2,3,0.667,0,0,,0,0,0,0,0,0,1,3,6,0,1.000,1.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.8,124,115
Reggie Jackson,20160210,DET,1,DEN,103,DET,92,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Bullock,20160210,DET,1,DEN,103,DET,92,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ersan Ilyasova,20160210,DET,1,DEN,103,DET,92,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Anthony,20160210,DET,1,DEN,103,DET,92,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentavious Caldwell-Pope,20160210,DET,1,DEN,103,DET,92,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
