Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Gorgui Dieng,20160224,MIN,0,TOR,114,MIN,105,41.35,8,9,0.889,0,0,,5,6,0.833,3,5,8,3,1,2,3,4,21,9,.902,.889,.000,.667,9.4,15.3,12.4,12.6,1.3,3.9,20.5,16.4,146,125
Karl-Anthony Towns,20160224,MIN,0,TOR,114,MIN,105,37.33,5,13,0.385,0,1,0.0,6,8,0.75,0,6,6,0,1,0,1,5,16,-12,.484,.385,.077,.615,0.0,20.3,10.3,0.0,1.4,0.0,5.7,21.8,100,125
Ricky Rubio,20160224,MIN,0,TOR,114,MIN,105,36.2,2,3,0.667,2,2,1.0,6,6,1.0,0,3,3,13,2,0,3,2,12,-7,1.064,1.000,.667,2.000,0.0,10.5,5.3,50.2,2.9,0.0,34.7,11.1,159,125
Andrew Wiggins,20160224,MIN,0,TOR,114,MIN,105,31.9,9,19,0.474,2,2,1.0,6,9,0.667,2,2,4,3,1,0,6,2,26,8,.566,.526,.105,.474,8.1,7.9,8.0,19.2,1.7,0.0,20.7,42.1,97,129
Tayshaun Prince,20160224,MIN,0,TOR,114,MIN,105,16.73,2,2,1.0,1,1,1.0,0,0,,1,4,5,0,0,0,0,1,5,3,1.250,1.250,.500,.000,7.8,30.2,19.1,0.0,0.0,0.0,0.0,5.5,240,125
Zach LaVine,20160224,MIN,0,TOR,114,MIN,105,32.53,3,10,0.3,1,3,0.33299999999999996,0,2,0.0,1,1,2,3,1,2,1,5,7,-19,.322,.350,.300,.200,4.0,3.9,3.9,13.6,1.6,5.0,8.4,16.9,80,127
Shabazz Muhammad,20160224,MIN,0,TOR,114,MIN,105,21.13,5,11,0.455,0,1,0.0,0,0,,3,3,6,0,0,0,0,1,10,-15,.455,.455,.091,.000,18.4,17.9,18.2,0.0,0.0,0.0,0.0,24.1,108,129
Tyus Jones,20160224,MIN,0,TOR,114,MIN,105,11.8,1,3,0.33299999999999996,0,0,,2,2,1.0,0,0,0,3,1,0,0,1,4,-2,.515,.333,.000,.667,0.0,0.0,0.0,37.1,4.5,0.0,0.0,15.2,140,125
Adreian Payne,20160224,MIN,0,TOR,114,MIN,105,6.95,1,3,0.33299999999999996,0,0,,0,0,,1,1,2,0,1,0,1,0,2,-10,.333,.333,.000,.000,18.7,18.2,18.4,0.0,7.6,0.0,25.0,26.7,66,112
Kevin Martin,20160224,MIN,0,TOR,114,MIN,105,4.07,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,200,135
Damjan Rudez,20160224,MIN,0,TOR,114,MIN,105,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Miller,20160224,MIN,0,TOR,114,MIN,105,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemanja Bjelica,20160224,MIN,0,TOR,114,MIN,105,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
