Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Kawhi Leonard,20160303,SAS,0,SAS,94,NOP,86,39.02,12,22,0.545,6,10,0.6,0,0,,1,10,11,3,2,2,2,1,30,14,.682,.682,.455,.000,3.2,24.1,15.0,17.4,2.6,3.8,8.3,29.9,115,87
LaMarcus Aldridge,20160303,SAS,0,SAS,94,NOP,86,34.88,11,19,0.579,0,0,,4,4,1.0,0,8,8,1,0,1,2,2,26,6,.626,.579,.000,.211,0.0,21.6,12.2,6.6,0.0,2.1,8.8,31.8,108,96
Danny Green,20160303,SAS,0,SAS,94,NOP,86,34.47,4,8,0.5,1,5,0.2,2,2,1.0,0,3,3,4,1,0,1,2,11,-4,.619,.563,.625,.250,0.0,8.2,4.6,18.3,1.5,0.0,10.1,14.0,118,98
Tony Parker,20160303,SAS,0,SAS,94,NOP,86,23.98,1,3,0.33299999999999996,0,1,0.0,0,0,,0,3,3,5,1,0,1,2,2,-6,.333,.333,.333,.000,0.0,11.8,6.7,29.4,2.1,0.0,25.0,8.1,92,95
Tim Duncan,20160303,SAS,0,SAS,94,NOP,86,21.8,2,6,0.33299999999999996,0,0,,3,4,0.75,2,3,5,2,0,2,1,1,7,14,.451,.333,.000,.667,11.3,13.0,12.2,13.9,0.0,6.8,11.4,19.6,101,93
Patty Mills,20160303,SAS,0,SAS,94,NOP,86,26.6,3,6,0.5,1,3,0.33299999999999996,2,2,1.0,1,3,4,8,3,1,1,1,9,14,.654,.583,.500,.333,4.6,10.6,8.0,47.2,5.8,2.8,12.7,14.4,139,85
Rasual Butler,20160303,SAS,0,SAS,94,NOP,86,18.52,1,3,0.33299999999999996,0,1,0.0,0,0,,1,1,2,2,0,2,0,0,2,1,.333,.333,.333,.000,6.6,5.1,5.8,15.5,0.0,8.0,0.0,7.9,104,93
Kyle Anderson,20160303,SAS,0,SAS,94,NOP,86,16.87,0,3,0.0,0,1,0.0,2,2,1.0,0,7,7,1,1,1,0,2,2,-4,.258,.000,.333,.667,0.0,39.1,22.1,7.9,3.0,4.4,0.0,11.2,68,82
David West,20160303,SAS,0,SAS,94,NOP,86,14.27,2,7,0.28600000000000003,0,0,,1,1,1.0,0,5,5,0,0,1,3,0,5,4,.336,.286,.000,.143,0.0,33.0,18.7,0.0,0.0,5.2,28.7,35.6,46,90
Boris Diaw,20160303,SAS,0,SAS,94,NOP,86,5.65,0,3,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-7,.000,.000,.000,.000,0.0,0.0,0.0,23.6,0.0,0.0,0.0,25.8,19,103
Andre Miller,20160303,SAS,0,SAS,94,NOP,86,3.95,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,8,.000,.000,.000,.000,0.0,23.8,13.5,0.0,0.0,0.0,0.0,12.3,0,97
Boban Marjanovic,20160303,SAS,0,SAS,94,NOP,86,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathon Simmons,20160303,SAS,0,SAS,94,NOP,86,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
