Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Kyle Lowry,20161125,TOR,0,TOR,105,MIL,99,37.08,7,15,0.467,4,8,0.5,1,1,1.0,1,4,5,6,2,0,2,1,19,5,.615,.600,.533,.067,3.1,15.2,8.5,26.8,3.0,0.0,11.5,22.7,127,112
DeMar DeRozan,20161125,TOR,0,TOR,105,MIL,99,34.83,9,18,0.5,0,2,0.0,8,10,0.8,1,6,7,4,0,0,1,1,26,5,.580,.500,.111,.556,3.3,24.3,12.7,21.5,0.0,0.0,4.3,32.5,128,117
Jonas Valanciunas,20161125,TOR,0,TOR,105,MIL,99,31.4,6,11,0.545,0,0,,0,0,,3,4,7,0,0,0,1,3,12,5,.545,.545,.000,.000,10.9,18.0,14.1,0.0,0.0,0.0,8.3,18.5,113,118
DeMarre Carroll,20161125,TOR,0,TOR,105,MIL,99,25.97,4,9,0.444,4,8,0.5,2,2,1.0,0,1,1,1,0,0,0,1,14,10,.709,.667,.889,.222,0.0,5.4,2.4,6.0,0.0,0.0,0.0,18.4,151,120
Pascal Siakam,20161125,TOR,0,TOR,105,MIL,99,22.93,2,3,0.667,0,0,,2,4,0.5,3,4,7,0,0,1,2,1,6,2,.630,.667,.000,1.333,15.0,24.6,19.3,0.0,0.0,4.2,29.6,14.2,106,114
Cory Joseph,20161125,TOR,0,TOR,105,MIL,99,27.07,4,11,0.364,1,3,0.33299999999999996,0,0,,1,3,4,3,0,0,1,1,9,3,.409,.409,.273,.000,4.2,15.6,9.3,17.2,0.0,0.0,8.3,21.4,97,119
Patrick Patterson,20161125,TOR,0,TOR,105,MIL,99,25.07,3,7,0.429,3,6,0.5,2,2,1.0,1,4,5,3,0,0,0,4,11,4,.698,.643,.857,.286,4.6,22.5,12.6,17.8,0.0,0.0,0.0,15.2,162,117
Terrence Ross,20161125,TOR,0,TOR,105,MIL,99,20.07,3,7,0.429,2,5,0.4,0,0,,1,0,1,1,1,0,1,1,8,-5,.571,.571,.714,.000,5.7,0.0,3.1,7.8,2.8,0.0,12.5,19.3,112,115
Lucas Nogueira,20161125,TOR,0,TOR,105,MIL,99,15.58,0,1,0.0,0,0,,0,0,,0,1,1,0,0,4,1,4,0,1,.000,.000,.000,.000,0.0,9.1,4.1,0.0,0.0,24.6,50.0,6.2,0,98
Jakob Poeltl,20161125,TOR,0,TOR,105,MIL,99,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman Powell,20161125,TOR,0,TOR,105,MIL,99,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
