Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Kemba Walker,20170404,CHO,0,WAS,118,CHO,111,36.52,13,25,0.52,6,14,0.429,5,6,0.833,0,5,5,4,2,1,2,3,37,4,.669,.640,.560,.240,0.0,19.3,9.0,22.9,2.8,2.6,6.7,37.2,130,119
Nicolas Batum,20170404,CHO,0,WAS,118,CHO,111,32.4,6,10,0.6,1,5,0.2,0,0,,0,1,1,8,1,0,4,0,13,8,.650,.650,.500,.000,0.0,4.4,2.0,38.1,1.6,0.0,28.6,19.8,112,126
Cody Zeller,20170404,CHO,0,WAS,118,CHO,111,31.8,4,5,0.8,0,0,,2,2,1.0,3,7,10,1,0,1,1,1,10,7,.850,.800,.000,.400,11.6,31.1,20.7,4.4,0.0,3.0,14.5,9.9,159,123
Marvin Williams,20170404,CHO,0,WAS,118,CHO,111,29.22,0,7,0.0,0,3,0.0,2,2,1.0,1,2,3,2,0,1,1,1,2,-13,.127,.000,.429,.286,4.2,9.7,6.8,8.2,0.0,3.2,11.3,13.9,51,126
Michael Kidd-Gilchrist,20170404,CHO,0,WAS,118,CHO,111,26.38,3,5,0.6,0,0,,2,2,1.0,2,1,3,1,0,0,1,2,8,-11,.680,.600,.000,.400,9.3,5.4,7.5,5.3,0.0,0.0,14.5,12.0,134,129
Frank Kaminsky,20170404,CHO,0,WAS,118,CHO,111,26.73,3,7,0.429,3,6,0.5,3,4,0.75,0,5,5,3,0,0,3,3,12,4,.685,.643,.857,.571,0.0,26.4,12.3,15.6,0.0,0.0,25.5,20.2,110,126
Marco Belinelli,20170404,CHO,0,WAS,118,CHO,111,24.73,6,10,0.6,2,4,0.5,2,2,1.0,0,3,3,2,1,0,2,1,16,3,.735,.700,.400,.200,0.0,17.1,8.0,13.7,2.0,0.0,15.5,23.9,126,123
Jeremy Lamb,20170404,CHO,0,WAS,118,CHO,111,12.48,3,6,0.5,0,1,0.0,3,4,0.75,2,3,5,0,1,0,0,2,9,-14,.580,.500,.167,.667,19.7,33.9,26.3,0.0,4.0,0.0,0.0,28.5,133,116
Brian Roberts,20170404,CHO,0,WAS,118,CHO,111,11.48,1,3,0.33299999999999996,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,2,-11,.333,.333,.333,.000,0.0,12.3,5.7,0.0,0.0,0.0,0.0,12.0,72,128
Miles Plumlee,20170404,CHO,0,WAS,118,CHO,111,8.25,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,2,4,2,-12,1.000,1.000,.000,.000,14.9,0.0,8.0,0.0,0.0,0.0,66.7,16.7,70,129
Briante Weber,20170404,CHO,0,WAS,118,CHO,111,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treveon Graham,20170404,CHO,0,WAS,118,CHO,111,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Wood,20170404,CHO,0,WAS,118,CHO,111,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
