Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Taurean Waller-Prince,20171027,ATL,1,DEN,105,ATL,100,32.7,8,14,0.5710000000000001,3,5,0.6,0,0,,1,6,7,3,2,0,4,2,19,-1,.679,.679,.357,.000,3.2,20.5,11.5,17.4,3.1,0.0,22.2,24.9,105,106
Dennis Schroder,20171027,ATL,1,DEN,105,ATL,100,32.5,7,16,0.43799999999999994,2,6,0.33299999999999996,4,4,1.0,1,2,3,6,1,0,0,1,20,4,.563,.500,.375,.250,3.2,6.9,5.0,33.2,1.6,0.0,0.0,24.7,133,113
Dewayne Dedmon,20171027,ATL,1,DEN,105,ATL,100,30.88,4,9,0.444,1,2,0.5,4,4,1.0,2,8,10,1,0,1,0,4,13,6,.604,.500,.222,.444,6.8,28.9,17.5,5.0,0.0,2.2,0.0,15.7,138,109
Ersan Ilyasova,20171027,ATL,1,DEN,105,ATL,100,29.77,3,11,0.273,1,5,0.2,0,0,,0,3,3,2,2,0,0,4,7,1,.318,.318,.455,.000,0.0,11.3,5.4,10.0,3.4,0.0,0.0,16.7,78,108
Kent Bazemore,20171027,ATL,1,DEN,105,ATL,100,26.42,3,9,0.33299999999999996,1,3,0.33299999999999996,0,0,,2,4,6,4,1,2,3,1,7,-5,.389,.389,.333,.000,7.9,16.9,12.2,23.0,1.9,5.1,25.0,20.5,82,106
Marco Belinelli,20171027,ATL,1,DEN,105,ATL,100,28.35,5,8,0.625,5,7,0.7140000000000001,0,0,,0,2,2,2,0,0,3,0,15,-1,.938,.938,.875,.000,0.0,7.9,3.8,11.9,0.0,0.0,27.3,17.5,119,116
Mike Muscala,20171027,ATL,1,DEN,105,ATL,100,20.72,1,6,0.16699999999999998,0,3,0.0,2,2,1.0,0,3,3,1,1,1,1,2,4,-6,.291,.167,.500,.333,0.0,16.2,7.8,6.7,2.4,3.3,12.7,17.2,64,106
Malcolm Delaney,20171027,ATL,1,DEN,105,ATL,100,18.8,3,4,0.75,1,2,0.5,0,0,,0,1,1,4,0,0,1,0,7,-11,.875,.875,.500,.000,0.0,5.9,2.9,34.8,0.0,0.0,20.0,12.0,150,117
John Collins,20171027,ATL,1,DEN,105,ATL,100,14.33,2,11,0.182,0,0,,2,2,1.0,5,3,8,0,0,0,0,5,6,-7,.253,.182,.000,.182,36.4,23.4,30.1,0.0,0.0,0.0,0.0,37.4,81,111
Isaiah Taylor,20171027,ATL,1,DEN,105,ATL,100,5.15,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-5,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,200,118
Luke Babbitt,20171027,ATL,1,DEN,105,ATL,100,0.4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111
Tyler Dorsey,20171027,ATL,1,DEN,105,ATL,100,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Magette,20171027,ATL,1,DEN,105,ATL,100,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
