Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Bradley Beal,20171105,WAS,0,WAS,107,TOR,96,39.68,16,26,0.615,4,6,0.667,2,3,0.667,1,4,5,4,1,0,4,1,38,14,.695,.692,.231,.115,3.2,11.0,7.4,23.4,1.3,0.0,12.8,33.8,127,104
Marcin Gortat,20171105,WAS,0,WAS,107,TOR,96,36.0,3,7,0.429,0,0,,5,6,0.833,2,10,12,2,0,0,4,1,11,16,.571,.429,.000,.857,7.0,30.3,19.5,7.4,0.0,0.0,29.3,16.2,96,102
Otto Porter,20171105,WAS,0,WAS,107,TOR,96,33.43,8,13,0.615,3,4,0.75,0,0,,0,5,5,2,2,1,1,2,19,17,.731,.731,.308,.000,0.0,16.3,8.8,10.1,3.0,2.6,7.1,17.9,141,97
Tim Frazier,20171105,WAS,0,WAS,107,TOR,96,31.33,2,6,0.33299999999999996,0,2,0.0,0,0,,0,2,2,8,1,0,0,4,4,10,.333,.333,.333,.000,0.0,7.0,3.7,33.2,1.6,0.0,0.0,8.2,125,104
Markieff Morris,20171105,WAS,0,WAS,107,TOR,96,17.82,2,8,0.25,0,1,0.0,6,8,0.75,1,3,4,0,2,0,1,3,10,5,.434,.250,.125,1.000,7.1,18.4,13.1,0.0,5.6,0.0,8.0,30.1,96,92
Kelly Oubre,20171105,WAS,0,WAS,107,TOR,96,24.35,4,8,0.5,2,5,0.4,0,0,,0,5,5,0,1,0,1,5,10,0,.625,.625,.625,.000,0.0,22.4,12.0,0.0,2.1,0.0,11.1,15.8,113,99
Tomas Satoransky,20171105,WAS,0,WAS,107,TOR,96,22.23,0,4,0.0,0,1,0.0,0,0,,3,1,4,3,1,0,2,4,0,0,.000,.000,.250,.000,17.0,4.9,10.5,16.2,2.3,0.0,33.3,11.6,57,102
Mike Scott,20171105,WAS,0,WAS,107,TOR,96,16.9,2,4,0.5,1,1,1.0,0,2,0.0,0,3,3,0,1,1,2,5,5,0,.512,.625,.250,.500,0.0,19.4,10.4,0.0,3.0,5.1,29.1,17.4,68,93
Ian Mahinmi,20171105,WAS,0,WAS,107,TOR,96,9.95,2,5,0.4,0,0,,3,4,0.75,4,2,6,0,0,1,2,1,7,-4,.518,.400,.000,.800,50.8,21.9,35.3,0.0,0.0,8.6,22.8,37.7,103,97
Jodie Meeks,20171105,WAS,0,WAS,107,TOR,96,8.32,1,4,0.25,1,3,0.33299999999999996,0,0,,0,0,0,0,0,0,0,0,3,-3,.375,.375,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,86,109
Jason Smith,20171105,WAS,0,WAS,107,TOR,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris McCullough,20171105,WAS,0,WAS,107,TOR,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
