Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Marcus Smart,20171213,BOS,1,BOS,124,DEN,118,34.18,1,6,0.16699999999999998,0,3,0.0,2,3,0.667,0,1,1,9,2,2,1,1,4,7,.273,.167,.500,.500,0.0,3.1,1.8,27.7,2.9,4.5,12.0,11.4,102,124
Jaylen Brown,20171213,BOS,1,BOS,124,DEN,118,32.87,9,12,0.75,3,4,0.75,5,6,0.833,2,3,5,1,3,1,3,2,26,-5,.888,.875,.333,.500,9.1,9.5,9.4,4.3,4.6,2.3,17.0,25.1,142,118
Kyrie Irving,20171213,BOS,1,BOS,124,DEN,118,32.57,12,19,0.632,4,9,0.444,5,6,0.833,0,1,1,7,1,2,3,4,33,-5,.762,.737,.474,.316,0.0,3.2,1.9,35.2,1.5,4.7,12.2,35.4,136,126
Aron Baynes,20171213,BOS,1,BOS,124,DEN,118,28.22,8,11,0.727,0,0,,1,2,0.5,1,5,6,2,0,0,2,3,17,-6,.715,.727,.000,.182,5.3,18.5,13.1,10.2,0.0,0.0,14.4,23.0,122,125
Jayson Tatum,20171213,BOS,1,BOS,124,DEN,118,27.92,6,9,0.667,1,1,1.0,2,3,0.667,0,4,4,2,0,1,1,1,15,4,.727,.722,.111,.333,0.0,15.0,8.8,9.4,0.0,2.7,8.8,19.0,131,126
Semi Ojeleye,20171213,BOS,1,BOS,124,DEN,118,28.72,0,4,0.0,0,3,0.0,0,0,,0,5,5,0,2,0,2,3,0,-2,.000,.000,.750,.000,0.0,18.2,10.7,0.0,3.5,0.0,33.3,9.8,0,117
Terry Rozier,20171213,BOS,1,BOS,124,DEN,118,19.63,3,8,0.375,1,2,0.5,0,0,,0,2,2,5,0,0,1,1,7,9,.438,.438,.250,.000,0.0,10.6,6.3,30.8,0.0,0.0,11.1,21.5,102,129
Daniel Theis,20171213,BOS,1,BOS,124,DEN,118,18.35,2,4,0.5,0,1,0.0,4,4,1.0,1,2,3,1,1,0,0,4,8,14,.694,.500,.250,1.000,8.2,11.4,10.1,6.3,2.7,0.0,0.0,14.7,156,122
Shane Larkin,20171213,BOS,1,BOS,124,DEN,118,17.55,6,6,1.0,2,2,1.0,0,0,,0,3,3,2,1,1,0,1,14,14,1.167,1.167,.333,.000,0.0,17.8,10.5,17.9,2.8,4.3,0.0,16.0,232,117
Guerschon Yabusele,20171213,BOS,1,BOS,124,DEN,118,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jabari Bird,20171213,BOS,1,BOS,124,DEN,118,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdel Nader,20171213,BOS,1,BOS,124,DEN,118,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadeem Allen,20171213,BOS,1,BOS,124,DEN,118,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
