Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Paul George,20171222,OKC,1,OKC,120,ATL,117,40.02,4,12,0.33299999999999996,2,5,0.4,7,10,0.7,2,3,5,2,3,1,5,3,17,11,.518,.417,.417,.833,6.9,11.2,9.0,6.1,3.7,2.3,23.4,22.4,98,119
Russell Westbrook,20171222,OKC,1,OKC,120,ATL,117,35.53,12,17,0.706,1,2,0.5,5,5,1.0,1,6,7,15,2,1,3,0,30,6,.781,.735,.118,.294,3.9,25.3,14.1,72.9,2.8,2.5,13.5,26.2,164,118
Carmelo Anthony,20171222,OKC,1,OKC,120,ATL,117,34.6,8,19,0.42100000000000004,7,12,0.583,1,2,0.5,0,1,1,1,1,1,2,3,24,0,.604,.605,.632,.105,0.0,4.3,2.1,4.2,1.4,2.6,9.1,26.5,126,125
Steven Adams,20171222,OKC,1,OKC,120,ATL,117,33.77,6,9,0.667,0,0,,4,6,0.667,7,3,10,1,2,0,2,3,16,-8,.687,.667,.000,.667,28.4,13.3,21.2,4.0,2.9,0.0,14.7,16.9,139,122
Andre Roberson,20171222,OKC,1,OKC,120,ATL,117,27.97,4,8,0.5,0,0,,0,4,0.0,4,5,9,0,0,0,2,3,8,-3,.410,.500,.000,.500,19.6,26.8,23.1,0.0,0.0,0.0,17.0,17.6,86,126
Josh Huestis,20171222,OKC,1,OKC,120,ATL,117,24.53,2,5,0.4,1,2,0.5,0,0,,1,3,4,1,1,2,0,1,5,-2,.500,.500,.400,.000,5.6,18.3,11.7,4.9,2.0,7.4,0.0,8.5,138,118
Patrick Patterson,20171222,OKC,1,OKC,120,ATL,117,14.05,0,2,0.0,0,1,0.0,2,2,1.0,0,1,1,1,2,0,0,0,2,11,.347,.000,.500,1.000,0.0,10.7,5.1,7.8,7.1,0.0,0.0,8.6,119,113
Jerami Grant,20171222,OKC,1,OKC,120,ATL,117,13.4,4,4,1.0,0,0,,0,2,0.0,0,2,2,0,0,0,2,4,8,3,.820,1.000,.000,.500,0.0,22.4,10.7,0.0,0.0,0.0,29.1,21.5,90,127
Raymond Felton,20171222,OKC,1,OKC,120,ATL,117,12.47,4,6,0.667,2,3,0.667,0,0,,0,1,1,2,0,0,1,0,10,-3,.833,.833,.500,.000,0.0,12.0,5.7,26.9,0.0,0.0,14.3,23.5,152,129
Alex Abrines,20171222,OKC,1,OKC,120,ATL,117,3.67,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,1,0,0,,,,,0.0,0.0,0.0,29.8,0.0,0.0,100.0,22.8,29,130
Dakari Johnson,20171222,OKC,1,OKC,120,ATL,117,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Collison,20171222,OKC,1,OKC,120,ATL,117,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,20171222,OKC,1,OKC,120,ATL,117,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
