Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
De'Aaron Fox,20180109,SAC,0,LAL,99,SAC,86,32.17,6,16,0.375,3,5,0.6,0,1,0.0,0,1,1,3,4,1,3,1,15,-26,.456,.469,.313,.063,0.0,3.6,1.5,21.3,5.8,3.6,15.4,25.3,80,92
Willie Cauley-Stein,20180109,SAC,0,LAL,99,SAC,86,28.18,3,10,0.3,0,1,0.0,2,6,0.33299999999999996,0,4,4,3,1,0,1,2,8,-23,.316,.300,.100,.600,0.0,16.2,7.0,20.5,1.7,0.0,7.3,20.2,69,101
Buddy Hield,20180109,SAC,0,LAL,99,SAC,86,22.52,4,11,0.364,3,4,0.75,2,2,1.0,0,1,1,2,1,0,2,2,13,-14,.547,.500,.364,.182,0.0,5.1,2.2,19.9,2.1,0.0,14.4,25.8,97,102
Zach Randolph,20180109,SAC,0,LAL,99,SAC,86,22.37,2,12,0.16699999999999998,0,1,0.0,3,4,0.75,4,8,12,1,0,0,3,2,7,-15,.254,.167,.083,.333,15.3,40.9,26.3,8.3,0.0,0.0,17.9,31.3,58,99
Malachi Richardson,20180109,SAC,0,LAL,99,SAC,86,5.05,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-16,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0,108
Bogdan Bogdanovic,20180109,SAC,0,LAL,99,SAC,86,32.03,7,13,0.5379999999999999,0,3,0.0,5,6,0.833,0,2,2,4,1,0,0,2,19,8,.607,.538,.231,.462,0.0,7.1,3.1,30.7,1.5,0.0,0.0,20.4,132,103
Garrett Temple,20180109,SAC,0,LAL,99,SAC,86,29.97,1,6,0.16699999999999998,1,2,0.5,0,0,,0,1,1,0,2,0,3,1,3,10,.250,.250,.333,.000,0.0,3.8,1.6,0.0,3.1,0.0,33.3,12.5,33,100
Skal Labissiere,20180109,SAC,0,LAL,99,SAC,86,24.15,2,5,0.4,0,1,0.0,4,5,0.8,2,2,4,0,0,0,1,3,8,4,.556,.400,.200,1.000,7.1,9.5,8.1,0.0,0.0,0.0,12.2,14.2,109,106
Vince Carter,20180109,SAC,0,LAL,99,SAC,86,22.27,2,7,0.28600000000000003,1,4,0.25,2,2,1.0,1,2,3,0,3,3,0,3,7,-1,.444,.357,.571,.286,3.8,10.3,6.6,0.0,6.3,15.4,0.0,14.8,98,83
Kosta Koufos,20180109,SAC,0,LAL,99,SAC,86,21.3,3,5,0.6,0,0,,0,1,0.0,3,12,15,2,3,0,3,3,6,8,.551,.600,.000,.200,12.1,64.4,34.5,19.4,6.6,0.0,35.5,16.6,85,79
Justin Jackson,20180109,SAC,0,LAL,99,SAC,86,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
