Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Wesley Matthews,20180110,DAL,0,DAL,115,CHO,111,36.55,2,8,0.25,0,3,0.0,0,0,,0,4,4,3,1,1,0,0,4,8,.250,.250,.375,.000,0.0,13.1,6.4,10.8,1.3,2.3,0.0,10.2,69,112
Harrison Barnes,20180110,DAL,0,DAL,115,CHO,111,35.08,9,13,0.6920000000000001,3,5,0.6,4,4,1.0,1,10,11,2,0,1,0,1,25,6,.847,.808,.385,.308,3.3,34.2,18.4,10.3,0.0,2.4,0.0,19.5,167,112
Dennis Smith,20180110,DAL,0,DAL,115,CHO,111,31.32,4,13,0.308,0,5,0.0,7,8,0.875,0,3,3,6,0,2,1,1,15,1,.454,.308,.385,.615,0.0,11.5,5.6,28.0,0.0,5.3,5.7,26.0,103,111
Dirk Nowitzki,20180110,DAL,0,DAL,115,CHO,111,22.48,8,16,0.5,3,7,0.429,0,0,,0,2,2,2,2,0,0,2,19,-3,.594,.594,.438,.000,0.0,10.7,5.2,19.5,4.2,0.0,0.0,33.1,112,107
Maxi Kleber,20180110,DAL,0,DAL,115,CHO,111,12.25,2,7,0.28600000000000003,0,2,0.0,0,0,,0,1,1,1,2,0,2,4,4,-14,.286,.286,.286,.000,0.0,9.8,4.8,12.6,7.8,0.0,22.2,34.1,49,96
Yogi Ferrell,20180110,DAL,0,DAL,115,CHO,111,36.03,7,10,0.7,7,10,0.7,1,2,0.5,0,4,4,1,1,0,1,3,22,6,1.011,1.050,1.000,.200,0.0,13.3,6.5,4.5,1.3,0.0,8.4,15.3,161,113
J.J. Barea,20180110,DAL,0,DAL,115,CHO,111,20.52,4,9,0.444,2,3,0.667,2,3,0.667,0,6,6,5,0,0,2,2,12,1,.581,.556,.333,.333,0.0,35.1,17.1,39.5,0.0,0.0,16.2,27.9,109,114
Devin Harris,20180110,DAL,0,DAL,115,CHO,111,19.75,2,6,0.33299999999999996,0,1,0.0,5,7,0.7140000000000001,0,0,0,1,0,0,0,1,9,-2,.496,.333,.167,1.167,0.0,0.0,0.0,7.1,0.0,0.0,0.0,21.4,107,117
Salah Mejri,20180110,DAL,0,DAL,115,CHO,111,13.92,1,1,1.0,0,0,,0,0,,1,5,6,2,1,2,2,6,2,19,1.000,1.000,.000,.000,8.2,43.1,25.2,19.4,3.4,11.9,66.7,10.0,102,90
Dwight Powell,20180110,DAL,0,DAL,115,CHO,111,12.1,0,0,,0,0,,3,4,0.75,1,1,2,0,0,1,0,2,3,-2,.852,,,,9.4,9.9,9.7,0.0,0.0,6.8,0.0,6.8,197,108
Josh McRoberts,20180110,DAL,0,DAL,115,CHO,111,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
