Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Damian Lillard,20180204,POR,0,BOS,97,POR,96,37.15,6,19,0.316,2,9,0.222,7,8,0.875,1,5,6,9,0,1,2,0,21,0,.466,.368,.474,.421,2.5,14.4,8.0,41.2,0.0,2.6,8.2,30.1,106,109
C.J. McCollum,20180204,POR,0,BOS,97,POR,96,35.6,9,22,0.409,3,6,0.5,1,2,0.5,1,2,3,3,0,0,2,2,22,-16,.481,.477,.273,.091,2.6,6.0,4.2,16.9,0.0,0.0,8.0,31.9,94,113
Al-Farouq Aminu,20180204,POR,0,BOS,97,POR,96,33.95,4,13,0.308,3,9,0.33299999999999996,0,0,,1,7,8,2,0,1,0,2,11,-6,.423,.423,.692,.000,2.7,22.0,11.7,9.3,0.0,2.9,0.0,17.5,95,106
Jusuf Nurkic,20180204,POR,0,BOS,97,POR,96,27.9,7,13,0.5379999999999999,0,0,,0,0,,1,7,8,2,1,2,2,6,14,-8,.538,.538,.000,.000,3.3,26.8,14.2,14.4,1.9,7.0,13.3,24.5,97,97
Evan Turner,20180204,POR,0,BOS,97,POR,96,23.2,0,3,0.0,0,0,,0,0,,0,4,4,1,0,1,0,0,0,5,.000,.000,.000,.000,0.0,18.4,8.5,5.7,0.0,4.2,0.0,5.9,20,106
Maurice Harkless,20180204,POR,0,BOS,97,POR,96,31.3,7,12,0.583,5,5,1.0,0,0,,3,5,8,0,1,0,0,3,19,5,.792,.792,.417,.000,8.8,17.0,12.6,0.0,1.7,0.0,0.0,17.5,154,106
Ed Davis,20180204,POR,0,BOS,97,POR,96,20.1,3,5,0.6,0,0,,1,2,0.5,3,4,7,2,2,2,0,1,7,7,.595,.600,.000,.400,13.8,21.2,17.2,16.6,5.2,9.7,0.0,13.4,144,89
Pat Connaughton,20180204,POR,0,BOS,97,POR,96,18.67,0,4,0.0,0,2,0.0,2,2,1.0,0,0,0,1,0,0,2,2,2,4,.205,.000,.500,.500,0.0,0.0,0.0,7.1,0.0,0.0,29.1,16.8,39,115
Zach Collins,20180204,POR,0,BOS,97,POR,96,12.13,0,0,,0,0,,0,0,,0,2,2,1,0,2,0,1,0,4,,,,,0.0,17.6,8.2,11.0,0.0,16.1,,0.0,236,98
Wade Baldwin,20180204,POR,0,BOS,97,POR,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Vonleh,20180204,POR,0,BOS,97,POR,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Layman,20180204,POR,0,BOS,97,POR,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meyers Leonard,20180204,POR,0,BOS,97,POR,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
