Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Evan Fournier,20180222,ORL,1,NYK,120,ORL,113,34.98,9,14,0.643,3,6,0.5,4,4,1.0,0,5,5,5,1,0,0,3,25,1,.793,.750,.429,.286,0.0,13.7,8.0,22.4,1.4,0.0,0.0,20.4,162,123
Jonathon Simmons,20180222,ORL,1,NYK,120,ORL,113,29.88,5,10,0.5,0,2,0.0,2,4,0.5,0,4,4,5,0,0,2,2,12,-3,.510,.500,.200,.400,0.0,12.9,7.5,23.0,0.0,0.0,14.5,20.8,100,126
D.J. Augustin,20180222,ORL,1,NYK,120,ORL,113,27.12,3,7,0.429,3,5,0.6,4,4,1.0,0,2,2,4,0,0,1,2,13,-2,.742,.643,.714,.571,0.0,7.1,4.1,18.8,0.0,0.0,10.2,16.3,141,128
Aaron Gordon,20180222,ORL,1,NYK,120,ORL,113,24.65,3,9,0.33299999999999996,2,3,0.667,1,2,0.5,0,5,5,5,0,1,3,0,9,0,.455,.444,.333,.222,0.0,19.5,11.3,26.2,0.0,2.6,23.3,23.6,85,122
Nikola Vucevic,20180222,ORL,1,NYK,120,ORL,113,24.45,8,11,0.727,2,3,0.667,1,3,0.33299999999999996,1,5,6,1,2,2,1,2,19,-1,.771,.818,.273,.273,5.5,19.6,13.7,7.2,4.0,5.3,7.5,24.6,132,111
Mario Hezonja,20180222,ORL,1,NYK,120,ORL,113,27.42,7,15,0.467,1,4,0.25,0,0,,1,3,4,2,2,0,1,2,15,-13,.500,.500,.267,.000,4.9,10.5,8.1,11.4,3.6,0.0,6.3,26.4,98,119
Shelvin Mack,20180222,ORL,1,NYK,120,ORL,113,20.88,4,6,0.667,0,0,,0,0,,1,2,3,4,1,0,3,0,8,-5,.667,.667,.000,.000,6.4,9.2,8.0,27.2,2.3,0.0,33.3,19.5,103,123
Bismack Biyombo,20180222,ORL,1,NYK,120,ORL,113,19.67,0,4,0.0,0,0,,2,4,0.5,1,4,5,0,0,2,0,1,2,-3,.174,.000,.000,1.000,6.8,19.5,14.2,0.0,0.0,6.6,0.0,13.2,53,119
Wesley Iwundu,20180222,ORL,1,NYK,120,ORL,113,19.5,3,6,0.5,0,1,0.0,0,0,,1,2,3,0,1,0,2,3,6,-4,.500,.500,.167,.000,6.8,9.8,8.6,0.0,2.5,0.0,25.0,18.6,76,122
Arron Afflalo,20180222,ORL,1,NYK,120,ORL,113,7.17,1,1,1.0,0,0,,0,0,,0,1,1,2,0,0,0,0,2,-2,1.000,1.000,.000,.000,0.0,13.4,7.8,36.9,0.0,0.0,0.0,6.3,211,126
Khem Birch,20180222,ORL,1,NYK,120,ORL,113,3.88,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,2,-3,1.136,,,,0.0,24.7,14.4,0.0,0.0,0.0,0.0,10.2,250,122
Rashad Vaughn,20180222,ORL,1,NYK,120,ORL,113,0.4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,131
Marreese Speights,20180222,ORL,1,NYK,120,ORL,113,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
