Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Noah Vonleh,20181120,NYK,1,POR,118,NYK,114,36.75,4,8,0.5,2,5,0.4,4,8,0.5,2,12,14,2,3,1,0,1,14,-3,.608,.625,.625,1.000,6.7,34.1,21.5,7.1,4.1,2.2,0.0,14.0,139,110
Tim Hardaway,20181120,NYK,1,POR,118,NYK,114,36.73,10,21,0.47600000000000003,3,6,0.5,9,9,1.0,2,3,5,4,1,0,2,2,32,10,.641,.548,.286,.429,6.7,8.5,7.7,18.1,1.4,0.0,7.4,32.7,134,127
Enes Kanter,20181120,NYK,1,POR,118,NYK,114,26.62,3,7,0.429,1,1,1.0,0,0,,0,5,5,6,1,1,2,2,7,12,.500,.500,.143,.000,0.0,19.6,10.6,29.6,1.9,3.0,22.2,15.1,107,120
Emmanuel Mudiay,20181120,NYK,1,POR,118,NYK,114,24.27,6,9,0.667,2,4,0.5,2,2,1.0,0,2,2,4,0,0,2,2,16,7,.810,.778,.444,.222,0.0,8.6,4.7,26.3,0.0,0.0,16.8,21.8,142,130
Mario Hezonja,20181120,NYK,1,POR,118,NYK,114,17.1,1,5,0.2,0,0,,0,0,,1,2,3,1,1,0,1,2,2,1,.200,.200,.000,.000,7.2,12.2,9.9,7.2,2.9,0.0,16.7,15.6,59,122
Frank Ntilikina,20181120,NYK,1,POR,118,NYK,114,27.53,3,7,0.429,1,5,0.2,0,0,,0,4,4,1,0,0,1,3,7,-8,.500,.500,.714,.000,0.0,15.2,8.2,4.7,0.0,0.0,12.5,13.0,95,127
Trey Burke,20181120,NYK,1,POR,118,NYK,114,25.73,8,15,0.5329999999999999,3,5,0.6,0,0,,1,2,3,3,0,0,2,1,19,-15,.633,.633,.333,.000,4.8,8.1,6.6,20.7,0.0,0.0,11.8,29.4,120,130
Mitchell Robinson,20181120,NYK,1,POR,118,NYK,114,18.05,3,3,1.0,0,0,,0,1,0.0,4,1,5,1,2,2,2,2,6,-11,.872,1.000,.000,.333,27.3,5.8,15.6,7.8,5.5,8.9,36.8,13.4,128,112
Allonzo Trier,20181120,NYK,1,POR,118,NYK,114,14.63,3,5,0.6,1,1,1.0,2,2,1.0,0,0,0,0,0,0,3,0,9,-11,.765,.700,.200,.400,0.0,0.0,0.0,0.0,0.0,0.0,33.8,27.1,94,133
Kevin Knox,20181120,NYK,1,POR,118,NYK,114,12.58,1,3,0.33299999999999996,0,2,0.0,0,0,,0,1,1,0,0,1,0,0,2,-2,.333,.333,.667,.000,0.0,8.3,4.5,0.0,0.0,6.4,0.0,10.6,73,126
Ron Baker,20181120,NYK,1,POR,118,NYK,114,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damyean Dotson,20181120,NYK,1,POR,118,NYK,114,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
