Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Ben Simmons,20181222,PHI,1,PHI,126,TOR,101,33.5,11,13,0.846,0,0,,4,6,0.667,1,11,12,8,0,1,1,2,26,17,.831,.846,.000,.462,3.9,27.7,18.3,37.9,0.0,2.6,6.0,21.4,162,96
Joel Embiid,20181222,PHI,1,PHI,126,TOR,101,30.63,10,15,0.667,0,0,,7,9,0.778,1,10,11,1,1,1,3,3,27,15,.712,.667,.000,.600,4.2,27.5,18.3,5.2,1.5,2.8,13.7,30.9,120,92
Jimmy Butler,20181222,PHI,1,PHI,126,TOR,101,28.62,4,10,0.4,0,2,0.0,4,4,1.0,1,6,7,7,3,1,2,3,12,7,.510,.400,.200,.400,4.5,17.7,12.5,29.9,4.7,3.0,14.5,20.7,110,87
J.J. Redick,20181222,PHI,1,PHI,126,TOR,101,27.67,7,12,0.583,4,5,0.8,4,6,0.667,0,3,3,5,0,0,0,0,22,26,.751,.750,.417,.500,0.0,9.1,5.5,25.6,0.0,0.0,0.0,22.8,149,102
Mike Muscala,20181222,PHI,1,PHI,126,TOR,101,17.62,1,3,0.33299999999999996,1,3,0.33299999999999996,1,2,0.5,0,4,4,1,0,0,0,2,4,10,.515,.500,1.000,.667,0.0,19.1,11.6,6.3,0.0,0.0,0.0,9.5,109,100
T.J. McConnell,20181222,PHI,1,PHI,126,TOR,101,28.47,3,11,0.273,0,2,0.0,0,0,,0,3,3,7,0,0,0,2,6,15,.273,.273,.182,.000,0.0,8.9,5.4,28.8,0.0,0.0,0.0,16.6,84,102
Jonah Bolden,20181222,PHI,1,PHI,126,TOR,101,25.32,1,3,0.33299999999999996,0,1,0.0,2,2,1.0,1,8,9,1,0,4,3,3,4,14,.515,.333,.333,.667,5.1,26.6,18.2,4.3,0.0,13.8,43.6,11.7,74,87
Furkan Korkmaz,20181222,PHI,1,PHI,126,TOR,101,19.38,6,9,0.667,2,5,0.4,2,3,0.667,0,4,4,0,3,0,1,0,16,18,.775,.778,.556,.333,0.0,17.4,10.5,0.0,6.9,0.0,8.8,25.2,124,85
Landry Shamet,20181222,PHI,1,PHI,126,TOR,101,16.1,1,5,0.2,0,4,0.0,1,1,1.0,0,0,0,1,0,0,1,4,3,-3,.276,.200,.800,.200,0.0,0.0,0.0,6.9,0.0,0.0,15.5,17.2,56,104
Shake Milton,20181222,PHI,1,PHI,126,TOR,101,4.23,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,2,0,0,1,5,2,.000,.000,.000,.000,0.0,0.0,0.0,49.3,0.0,0.0,0.0,10.2,86,104
Amir Johnson,20181222,PHI,1,PHI,126,TOR,101,4.23,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,0,1,0,0,0,1,2,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,21.2,0.0,0.0,20.4,250,57
Demetrius Jackson,20181222,PHI,1,PHI,126,TOR,101,4.23,0,1,0.0,0,0,,0,0,,0,0,0,2,0,0,0,1,0,2,.266,.000,1.000,2.000,0.0,0.0,0.0,0.0,10.6,0.0,0.0,19.1,58,81
