Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Patrick Beverley,20190225,LAC,1,LAC,121,DAL,112,38.92,5,13,0.385,5,11,0.455,2,4,0.5,2,6,8,9,1,0,0,5,17,-5,.576,.577,.846,.308,5.2,19.5,11.6,28.6,1.3,0.0,0.0,16.1,138,117
Danilo Gallinari,20190225,LAC,1,LAC,121,DAL,112,31.38,7,13,0.5379999999999999,4,7,0.5710000000000001,2,2,1.0,0,2,2,2,0,1,2,2,20,-4,.720,.692,.538,.154,0.0,8.0,3.6,8.9,0.0,3.8,12.6,21.5,119,120
Landry Shamet,20190225,LAC,1,LAC,121,DAL,112,22.23,2,9,0.222,2,7,0.28600000000000003,0,0,,0,0,0,1,0,0,0,1,6,-8,.333,.333,.778,.000,0.0,0.0,0.0,5.3,0.0,0.0,0.0,17.2,74,124
Ivica Zubac,20190225,LAC,1,LAC,121,DAL,112,19.1,3,5,0.6,0,0,,1,1,1.0,1,7,8,3,1,0,1,1,7,-5,.643,.600,.000,.200,5.3,46.3,23.7,20.1,2.6,0.0,15.5,14.3,127,109
Shai Gilgeous-Alexander,20190225,LAC,1,LAC,121,DAL,112,17.42,0,4,0.0,0,3,0.0,0,0,,0,2,2,0,2,0,0,0,0,-8,.000,.000,.750,.000,0.0,14.5,6.5,0.0,5.6,0.0,0.0,9.8,0,108
Lou Williams,20190225,LAC,1,LAC,121,DAL,112,33.67,7,23,0.304,2,8,0.25,5,6,0.833,2,1,3,10,3,0,0,2,21,18,.410,.348,.348,.261,6.1,3.8,5.0,40.7,4.3,0.0,0.0,32.4,109,113
Montrezl Harrell,20190225,LAC,1,LAC,121,DAL,112,28.9,14,17,0.8240000000000001,0,0,,4,5,0.8,2,3,5,5,0,2,1,2,32,14,.833,.824,.000,.294,7.1,13.1,9.8,38.2,0.0,8.3,5.0,29.7,162,116
Garrett Temple,20190225,LAC,1,LAC,121,DAL,112,17.88,2,4,0.5,0,2,0.0,0,0,,0,2,2,0,1,1,0,4,4,16,.500,.500,.500,.000,0.0,14.1,6.3,0.0,2.7,6.7,0.0,9.5,97,110
JaMychal Green,20190225,LAC,1,LAC,121,DAL,112,16.62,4,9,0.444,3,6,0.5,0,0,,2,6,8,0,3,0,1,3,11,13,.611,.611,.667,.000,12.3,45.6,27.2,0.0,8.8,0.0,10.0,25.6,108,94
Tyrone Wallace,20190225,LAC,1,LAC,121,DAL,112,13.23,1,3,0.33299999999999996,1,1,1.0,0,0,,0,2,2,3,0,0,0,2,3,16,.500,.500,.333,.000,0.0,19.1,8.5,26.3,0.0,0.0,0.0,9.6,133,120
Sindarius Thornwell,20190225,LAC,1,LAC,121,DAL,112,0.65,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,124
Johnathan Motley,20190225,LAC,1,LAC,121,DAL,112,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome Robinson,20190225,LAC,1,LAC,121,DAL,112,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
