Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Allen Crabbe,20190313,BRK,0,OKC,108,BRK,96,35.15,3,9,0.33299999999999996,2,7,0.28600000000000003,0,0,,0,1,1,2,0,0,2,1,8,2,.444,.444,.778,.000,0.0,2.6,1.5,8.8,0.0,0.0,18.2,13.9,79,120
D'Angelo Russell,20190313,BRK,0,OKC,108,BRK,96,33.68,6,18,0.33299999999999996,2,8,0.25,0,0,,0,4,4,7,3,0,3,1,14,-8,.389,.389,.444,.000,0.0,11.0,6.1,37.7,4.4,0.0,14.3,27.6,83,107
Joe Harris,20190313,BRK,0,OKC,108,BRK,96,30.68,4,8,0.5,3,6,0.5,2,2,1.0,2,4,6,2,0,1,2,2,13,-17,.732,.688,.750,.250,7.4,12.0,10.0,10.9,0.0,2.3,18.4,15.7,126,115
Jarrett Allen,20190313,BRK,0,OKC,108,BRK,96,30.47,3,4,0.75,0,0,,2,2,1.0,1,4,5,1,0,1,0,4,8,-11,.820,.750,.000,.500,3.8,12.1,8.4,5.2,0.0,2.3,0.0,7.1,175,114
Rodions Kurucs,20190313,BRK,0,OKC,108,BRK,96,27.13,3,9,0.33299999999999996,1,4,0.25,1,4,0.25,1,4,5,1,2,1,4,4,8,-15,.372,.389,.444,.444,4.2,13.6,9.4,6.0,3.6,2.6,27.1,24.1,60,105
Spencer Dinwiddie,20190313,BRK,0,OKC,108,BRK,96,27.4,8,17,0.47100000000000003,2,6,0.33299999999999996,7,10,0.7,0,5,5,2,0,1,3,1,25,-16,.584,.529,.353,.588,0.0,16.8,9.3,16.7,0.0,2.6,12.3,39.4,105,112
Caris LeVert,20190313,BRK,0,OKC,108,BRK,96,18.88,3,10,0.3,1,2,0.5,1,1,1.0,0,6,6,4,0,0,0,2,8,0,.383,.350,.200,.100,0.0,29.3,16.2,37.1,0.0,0.0,0.0,24.5,97,108
Jared Dudley,20190313,BRK,0,OKC,108,BRK,96,18.28,2,3,0.667,2,2,1.0,0,0,,0,0,0,0,1,0,1,1,6,6,1.000,1.000,.667,.000,0.0,0.0,0.0,0.0,2.7,0.0,25.0,9.7,125,115
Ed Davis,20190313,BRK,0,OKC,108,BRK,96,17.53,3,6,0.5,0,0,,0,0,,3,8,11,0,1,1,1,2,6,-1,.500,.500,.000,.000,19.6,42.1,32.0,0.0,2.8,4.0,14.3,17.7,101,93
Theo Pinson,20190313,BRK,0,OKC,108,BRK,96,0.78,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122
Rondae Hollis-Jefferson,20190313,BRK,0,OKC,108,BRK,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shabazz Napier,20190313,BRK,0,OKC,108,BRK,96,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
