Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg
Devin Booker,20190327,PHO,1,WAS,124,PHO,121,36.9,19,29,0.655,3,9,0.33299999999999996,9,10,0.9,2,8,10,4,1,1,5,3,50,8,.749,.707,.310,.345,5.4,20.0,13.0,28.5,1.3,2.0,13.0,44.0,133,120
Mikal Bridges,20190327,PHO,1,WAS,124,PHO,121,34.17,1,6,0.16699999999999998,0,3,0.0,2,2,1.0,1,3,4,5,2,0,1,2,4,-12,.291,.167,.500,.333,2.9,8.1,5.6,16.9,2.8,0.0,12.7,9.8,95,122
Dragan Bender,20190327,PHO,1,WAS,124,PHO,121,30.58,4,6,0.667,3,5,0.6,1,2,0.5,1,5,6,0,1,2,3,4,12,-9,.872,.917,.833,.333,3.3,15.1,9.4,0.0,1.5,4.8,30.4,13.7,110,119
Deandre Ayton,20190327,PHO,1,WAS,124,PHO,121,26.85,6,13,0.462,0,0,,2,3,0.667,2,8,10,1,0,2,2,4,14,-14,.489,.462,.000,.231,7.4,27.5,17.9,5.5,0.0,5.5,12.3,25.7,97,118
De'Anthony Melton,20190327,PHO,1,WAS,124,PHO,121,21.62,2,4,0.5,0,1,0.0,0,0,,0,2,2,4,2,0,2,2,4,-4,.500,.500,.250,.000,0.0,8.5,4.4,23.0,4.3,0.0,33.3,11.7,94,119
Jamal Crawford,20190327,PHO,1,WAS,124,PHO,121,29.7,4,11,0.364,2,7,0.28600000000000003,2,3,0.667,0,3,3,7,0,1,0,1,12,1,.487,.455,.636,.273,0.0,9.3,4.8,31.0,0.0,2.5,0.0,17.6,126,126
Troy Daniels,20190327,PHO,1,WAS,124,PHO,121,22.1,5,12,0.41700000000000004,5,10,0.5,0,0,,2,3,5,0,0,0,0,3,15,5,.625,.625,.833,.000,9.0,12.5,10.9,0.0,0.0,0.0,0.0,23.0,131,126
Richaun Holmes,20190327,PHO,1,WAS,124,PHO,121,21.15,1,4,0.25,0,0,,5,6,0.833,2,2,4,1,2,1,0,6,7,11,.527,.250,.000,1.500,9.5,8.7,9.1,5.6,4.4,3.5,0.0,13.3,136,115
Elie Okobo,20190327,PHO,1,WAS,124,PHO,121,9.82,1,2,0.5,1,2,0.5,0,0,,1,1,2,0,1,0,1,1,3,-4,.750,.750,1.000,.000,10.2,9.4,9.8,0.0,4.8,0.0,33.3,12.9,105,117
Ray Spalding,20190327,PHO,1,WAS,124,PHO,121,7.12,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,2,0,3,,,,,0.0,25.9,13.5,0.0,0.0,0.0,100.0,5.9,0,121
Jimmer Fredette,20190327,PHO,1,WAS,124,PHO,121,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
